"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032279","asymmetric synapse","44/876","488/28779",0.0901639344262295,2.96213227037952,7.74588330390149,1.76992034553021e-10,1.03894324282623e-07,7.24735804643422e-08,"Bmpr2/Arc/Cpeb1/Tanc1/Akap9/Rps18/Dnajb1/Dclk1/Bsn/Slc1a1/Neto2/Grin2a/Pten/Epb41l1/Shank2/Pclo/Nrg1/Kpna1/Tanc2/Cntnap2/Rpl6/Gopc/Plxna4/Gpr158/Ptprf/Rps6kc1/Pdpk1/Ncs1/Afdn/Drp2/Cdkl5/Slc8a1/Adam10/Dapk1/Cnksr2/Inpp4a/Dagla/Gria1/Map2/Numb/Add2/Syngap1/Erc1/Dgki",44
"GO:0014069","postsynaptic density","41/876","464/28779",0.0883620689655172,2.90293605337742,7.32203514938529,1.35174944825733e-09,2.64492308709017e-07,1.84501942235825e-07,"Bmpr2/Arc/Cpeb1/Tanc1/Akap9/Rps18/Dnajb1/Dclk1/Bsn/Neto2/Grin2a/Pten/Epb41l1/Shank2/Pclo/Nrg1/Kpna1/Tanc2/Rpl6/Gopc/Gpr158/Ptprf/Rps6kc1/Pdpk1/Ncs1/Afdn/Drp2/Cdkl5/Slc8a1/Adam10/Dapk1/Cnksr2/Inpp4a/Dagla/Gria1/Map2/Numb/Add2/Syngap1/Erc1/Dgki",41
"GO:0042734","presynaptic membrane","21/876","271/28779",0.0774907749077491,2.54578425921246,4.53009238126874,9.54821343720957e-05,0.00224192051505681,0.00156389685350506,"Adam23/Kcna1/Cask/Grin2a/Gabra2/Ap2b1/Stxbp5/Nrg1/Otof/Cntnap2/Cltc/Gpr158/Kcnma1/Fcho2/Rab3gap2/Afdn/Gria1/Fzd3/Dgki/Exoc3/Kcnc3",21
"GO:0099523","presynaptic cytosol","8/876","49/28779",0.163265306122449,5.363712608331,5.41680591652108,0.000106497507669108,0.00240438603852948,0.00167722795478879,"Rabep1/Lrrk2/Htt/Stxbp5/Ncs1/Senp6/Prkca/Erc1",8
"GO:0045211","postsynaptic membrane","27/876","406/28779",0.0665024630541872,2.18478810985897,4.25998414298119,0.000141861740773059,0.00308417932717725,0.00215143146825419,"Arc/Kcna1/Akap9/Neto2/Grin2a/Clmp/Pten/Gabra2/Shank2/Nrg1/Gpr158/Kcnma1/Ptprf/Nbea/Afdn/Slc8a1/Adam10/Cnksr2/Dagla/Kcnb1/Gria1/Snta1/Lhfpl4/Ntrk3/Dgki/Kcnc3/Slc6a8",27
"GO:0008021","synaptic vesicle","21/876","284/28779",0.073943661971831,2.42925188114991,4.28884666424326,0.00018330239958886,0.00355690536906719,0.0024811910491655,"Dmxl2/Vti1a/Rab11b/Myo5a/Madd/Lrrk2/Bsn/Grin2a/Gabra2/Stxbp5/Otof/Cltc/Sv2c/Kif3c/Adam10/Atp6v0a1/Clcn4/Gria1/Ube3a/Erc1/Dgki",21
"GO:0097470","ribbon synapse","6/876","32/28779",0.1875,6.15988869863014,5.17459025285793,0.000359842516515342,0.00530730642108022,0.00370221859194872,"Bsn/Pclo/Otof/Cltc/Rapgef3/Atp2a2",6
"GO:0048786","presynaptic active zone","13/876","140/28779",0.0928571428571429,3.05061154598826,4.30948525516327,0.000361656314894734,0.00530730642108022,0.00370221859194872,"Bsn/Gabra2/Shank2/Pclo/Nrg1/Otof/Cntnap2/Kcnma1/Afdn/Gria1/Fzd3/Erc1/Dgki",13
"GO:0048787","presynaptic active zone membrane","9/876","75/28779",0.12,3.94232876712329,4.52071914236233,0.000448267865072578,0.00598030083630917,0.00417167941419218,"Gabra2/Nrg1/Otof/Cntnap2/Kcnma1/Afdn/Gria1/Fzd3/Dgki",9
"GO:0099091","postsynaptic specialization, intracellular component","8/876","61/28779",0.131147540983607,4.30855602964294,4.58335211713345,0.000504575417170133,0.00630182489103975,0.00439596500065357,"Tanc1/Grin2a/Tanc2/Sipa1l3/Cdkl5/Zdhhc5/Gria1/Syngap1",8
"GO:0099243","extrinsic component of synaptic membrane","6/876","38/28779",0.157894736842105,5.18727469358327,4.57645526040905,0.000938855755577802,0.0105982370870033,0.00739301394574423,"Akap9/Ap2b1/Stxbp5/Nbea/Cnksr2/Dgki",6
"GO:0060076","excitatory synapse","10/876","105/28779",0.0952380952380952,3.12883235485975,3.87212063264277,0.00138285334754193,0.0136905759509338,0.00955013726336094,"Rab3gap1/Bsn/Grin2a/Pclo/Cntnap2/Plxna4/Ptprf/Afdn/Gria1/Dgki",10
"GO:0099147","extrinsic component of postsynaptic density membrane","3/876","10/28779",0.3,9.85582191780822,4.96276144110109,0.00287328689334925,0.0221923606104738,0.0154807285528097,"Akap9/Cnksr2/Dgki",3
"GO:0098839","postsynaptic density membrane","12/876","158/28779",0.0759493670886076,2.49514478931854,3.33907597604175,0.00336308909686405,0.0252822375511253,0.0176361345062096,"Arc/Akap9/Neto2/Grin2a/Nrg1/Gpr158/Ptprf/Afdn/Cnksr2/Dagla/Gria1/Dgki",12
"GO:0099634","postsynaptic specialization membrane","14/876","200/28779",0.07,2.29969178082192,3.26805053657261,0.00340254985781755,0.0252822375511253,0.0176361345062096,"Arc/Akap9/Neto2/Grin2a/Gabra2/Nrg1/Gpr158/Ptprf/Afdn/Cnksr2/Dagla/Kcnb1/Gria1/Dgki",14
"GO:0098892","extrinsic component of postsynaptic specialization membrane","3/876","12/28779",0.25,8.21318493150685,4.42820084820124,0.00503343042293159,0.031432166577243,0.0219261414839909,"Akap9/Cnksr2/Dgki",3
"GO:0099092","postsynaptic density, intracellular component","6/876","53/28779",0.113207547169811,3.71917808219178,3.51070966897252,0.00531341567515963,0.0328313158033548,0.0229021462342061,"Tanc1/Grin2a/Tanc2/Cdkl5/Gria1/Syngap1",6
"GO:0098890","extrinsic component of postsynaptic membrane","4/876","24/28779",0.166666666666667,5.47545662100457,3.88636149468569,0.00557390463766199,0.0340821043990374,0.0237746590356416,"Akap9/Nbea/Cnksr2/Dgki",4
"GO:0098835","presynaptic endocytic zone membrane","3/876","14/28779",0.214285714285714,7.03987279843444,4.00512918406455,0.00795885692464085,0.0432578612478165,0.0301753932133069,"Ap2b1/Cltc/Fcho2",3
"GO:0098837","postsynaptic recycling endosome","3/876","14/28779",0.214285714285714,7.03987279843444,4.00512918406455,0.00795885692464085,0.0432578612478165,0.0301753932133069,"Snx27/Rab11fip3/Vps26b",3
"GO:0098845","postsynaptic endosome","4/876","27/28779",0.148148148148148,4.86707255200406,3.56194394018447,0.00856671777821505,0.0448987797840378,0.031320049019978,"Arc/Snx27/Rab11fip3/Vps26b",4
"GO:0060077","inhibitory synapse","4/876","28/28779",0.142857142857143,4.69324853228963,3.46431983120847,0.00975816499769952,0.0481348138962153,0.0335774098549767,"Bsn/Gabra2/Pclo/Lhfpl4",4
