"SYMBOL","ENSEMBL","ENTREZID"
"1700095J03Rik","ENSMUSG00000085407","74293"
"A4galt","ENSMUSG00000047878","239559"
"Ahnak","ENSMUSG00000069833","66395"
"Ankrd12","ENSMUSG00000034647","106585"
"Banp","ENSMUSG00000025316","53325"
"Ccar1","ENSMUSG00000020074","67500"
"Exd1","ENSMUSG00000048647","241624"
"Gal","ENSMUSG00000024907","14419"
"Gcnt1","ENSMUSG00000038843","14537"
"Gk5","ENSMUSG00000041440","235533"
"Gstp2","ENSMUSG00000038155","14869"
"Hectd2","ENSMUSG00000041180","226098"
"Hps4","ENSMUSG00000042328","192232"
"Lyve1","ENSMUSG00000030787","114332"
"Mgat4a","ENSMUSG00000026110","269181"
"Oxt","ENSMUSG00000027301","18429"
"Pdia4","ENSMUSG00000025823","12304"
"Plekhm1","ENSMUSG00000034247","353047"
"Skap1","ENSMUSG00000057058","78473"
"Slfn8","ENSMUSG00000035208","276950"
"Sox18","ENSMUSG00000046470","20672"
"Sp6","ENSMUSG00000038560","83395"
"Stra6","ENSMUSG00000032327","20897"
"Trim24","ENSMUSG00000029833","21848"
"Xbp1","ENSMUSG00000020484","22433"
"Zbtb16","ENSMUSG00000066687","235320"
"Zfp655","ENSMUSG00000007812","72611"
