"SYMBOL","ENSEMBL","ENTREZID"
"1700095J03Rik","ENSMUSG00000085407","74293"
"1810010H24Rik","ENSMUSG00000078607","69066"
"A4galt","ENSMUSG00000047878","239559"
"Ahnak","ENSMUSG00000069833","66395"
"Ankrd12","ENSMUSG00000034647","106585"
"Apold1","ENSMUSG00000090698","381823"
"Banp","ENSMUSG00000025316","53325"
"Btg2","ENSMUSG00000020423","12227"
"Camk1g","ENSMUSG00000016179","215303"
"Ccar1","ENSMUSG00000020074","67500"
"Ccn1","ENSMUSG00000028195","16007"
"Cd47","ENSMUSG00000055447","16423"
"Cebpz","ENSMUSG00000024081","12607"
"Cnot3","ENSMUSG00000035632","232791"
"Ddit4","ENSMUSG00000020108","74747"
"Dll4","ENSMUSG00000027314","54485"
"Dusp1","ENSMUSG00000024190","19252"
"Etv5","ENSMUSG00000013089","104156"
"Exd1","ENSMUSG00000048647","241624"
"Ext1","ENSMUSG00000061731","14042"
"Fmnl1","ENSMUSG00000055805","57778"
"Fos","ENSMUSG00000021250","14281"
"Fut10","ENSMUSG00000046152","171167"
"Gadd45g","ENSMUSG00000021453","23882"
"Gal","ENSMUSG00000024907","14419"
"Gcnt1","ENSMUSG00000038843","14537"
"Gimap6","ENSMUSG00000047867","231931"
"Gk5","ENSMUSG00000041440","235533"
"Gstp2","ENSMUSG00000038155","14869"
"Hdac4","ENSMUSG00000026313","208727"
"Hectd2","ENSMUSG00000041180","226098"
"Hps4","ENSMUSG00000042328","192232"
"Ier2","ENSMUSG00000053560","15936"
"Irgm2","ENSMUSG00000069874","54396"
"Ldlr","ENSMUSG00000032193","16835"
"Lyve1","ENSMUSG00000030787","114332"
"Mcl1","ENSMUSG00000038612","17210"
"Mex3d","ENSMUSG00000048696","237400"
"Mgat4a","ENSMUSG00000026110","269181"
"mt-Atp6","ENSMUSG00000064357","17705"
"Myof","ENSMUSG00000048612","226101"
"Nfil3","ENSMUSG00000056749","18030"
"Nrarp","ENSMUSG00000078202","67122"
"Nup54","ENSMUSG00000034826","269113"
"Oxt","ENSMUSG00000027301","18429"
"Pdia4","ENSMUSG00000025823","12304"
"Phf13","ENSMUSG00000047777","230936"
"Pim3","ENSMUSG00000035828","223775"
"Plekhm1","ENSMUSG00000034247","353047"
"Plin4","ENSMUSG00000002831","57435"
"Ptpn9","ENSMUSG00000032290","56294"
"Rassf1","ENSMUSG00000010067","56289"
"Sec24b","ENSMUSG00000001052","99683"
"Sik1","ENSMUSG00000024042","17691"
"Sik2","ENSMUSG00000037112","235344"
"Sik3","ENSMUSG00000034135","70661"
"Skap1","ENSMUSG00000057058","78473"
"Slc16a1","ENSMUSG00000032902","20501"
"Slfn8","ENSMUSG00000035208","276950"
"Sox18","ENSMUSG00000046470","20672"
"Sp6","ENSMUSG00000038560","83395"
"Specc1l","ENSMUSG00000033444","74392"
"Spred1","ENSMUSG00000027351","114715"
"Spty2d1","ENSMUSG00000049516","101685"
"Stk4","ENSMUSG00000018209","58231"
"Stra6","ENSMUSG00000032327","20897"
"Tmem252","ENSMUSG00000048572","226040"
"Tob2","ENSMUSG00000048546","57259"
"Trim24","ENSMUSG00000029833","21848"
"Txlng","ENSMUSG00000038344","353170"
"Uhrf2","ENSMUSG00000024817","109113"
"Utp14b","ENSMUSG00000079470","195434"
"Wdfy1","ENSMUSG00000073643","69368"
"Xbp1","ENSMUSG00000020484","22433"
"Zbtb16","ENSMUSG00000066687","235320"
"Zbtb40","ENSMUSG00000060862","230848"
"Zfp655","ENSMUSG00000007812","72611"
