"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","41/823","440/28832",0.0931818181818182,3.26442063404396,8.2047701205799,3.97885720300652e-11,1.99897785879048e-07,1.53332591791651e-07,"Pik3cg/Arhgef18/Ralgapb/Spry4/Arfgef1/Csnk1a1/Flcn/Madd/Ralgapa1/Rab3gap1/Cdc42bpa/Cul3/Rapgef5/Lrrk2/Grin2a/Arhgef12/Ksr2/Nrg1/Elmo1/Gbf1/Ccdc88a/Mfn2/Arhgef7/Ralgapa2/Rab39b/Sipa1l3/Cdc42ep4/Stk19/Eps8l1/Pdpn/Srgap1/Cbl/Rapgef3/Lztr1/Agtr1a/Apoe/Ralgps2/Phactr4/Syngap1/Brap/Dgki",41
"GO:0099173","postsynapse organization","33/823","313/28832",0.105431309904153,3.69355471100431,8.21318853681537,1.34453288715611e-10,3.37746661253614e-07,2.59070257888343e-07,"Arc/Dact1/Mark1/Fam107a/Tanc1/Myo9a/Lrrk2/Fzd9/Dclk1/Cask/Grin2a/Pten/Shank2/Snx27/Tanc2/Elmo1/Usp9x/Cntnap2/Mfn2/Arhgef7/Ptprf/Dhx36/Afdn/Apoe/Cdkl5/Adam10/Cnksr2/Numb/Lhfpl4/Ntrk3/Asap1/Syngap1/Ube3a",33
"GO:0048193","Golgi vesicle transport","30/823","292/28832",0.102739726027397,3.59926097305215,7.65235829713319,1.71770676028099e-09,2.87658625455056e-06,2.20649980680305e-06,"Trip11/Gcc2/Rabep1/Arcn1/Sec24c/Vti1a/Uvrag/Rabggtb/Sorl1/Myo5a/Insig1/Cul3/Lrrk2/Trappc11/Golga4/Htt/Bltp3b/Tex261/Lman2l/Stxbp5/Bicd2/Gbf1/Cog4/Dop1a/Lman2/Scyl1/Nbea/Stxbp5l/Rab11fip3/Use1",30
"GO:0007030","Golgi organization","20/823","138/28832",0.144927536231884,5.07721837744554,8.22979350028776,2.62861500316962e-09,3.30154044398104e-06,2.53246303331683e-06,"Tjap1/Trip11/Plk3/Gcc2/Arfgef1/Csnk1a1/Vti1a/Akap9/Lrrk2/Trappc11/Camsap2/Htt/Vps13b/Gbf1/Trappc8/Cog4/Cltc/Arhgef7/Vcpip1/Huwe1",20
"GO:0010506","regulation of autophagy","30/823","303/28832",0.099009900990099,3.46859473310636,7.40472282699777,4.1020981170201e-09,4.1217881879818e-06,3.16163814871802e-06,"Plk3/Depp1/Acer2/Flcn/Uvrag/Plekhf1/Rab3gap1/Sesn3/Mtcl3/Lrrk2/Dele1/Htt/Ubr4/Washc1/Bok/Usp10/Depdc5/Usp33/Dram1/Pink1/Wnk1/Rab39b/Rab3gap2/Hmgb1/Atg2a/Tecpr1/Gnai3/Dapk1/Atp6v0a1/Huwe1",30
"GO:0099175","regulation of postsynapse organization","23/823","191/28832",0.120418848167539,4.21861024345868,7.65018527139434,6.81744819938571e-09,5.70847662561897e-06,4.37871541367563e-06,"Arc/Dact1/Mark1/Fam107a/Tanc1/Lrrk2/Dclk1/Cask/Pten/Shank2/Tanc2/Elmo1/Usp9x/Mfn2/Ptprf/Dhx36/Afdn/Apoe/Cdkl5/Adam10/Numb/Asap1/Ube3a",23
"GO:0032868","response to insulin","32/823","356/28832",0.0898876404494382,3.14901634196622,6.99368703329713,1.32213078493718e-08,9.25609597075147e-06,7.0999344931531e-06,"Egr2/Zfp36l1/Errfi1/Appl1/Cpeb1/Epha6/Ncoa2/Sorl1/Myo5a/Klf15/Sesn3/Insig1/Cul3/Egr1/Meak7/Inhbb/Pten/Slc9a1/Srsf3/Mfn2/Capn10/Pik3r3/Slc2a4/Ptprf/Pdpk1/Tbc1d4/Vgf/Ptprj/Ntrk3/Ide/Pik3ca/Prkca",32
"GO:0071375","cellular response to peptide hormone stimulus","34/823","396/28832",0.0858585858585859,3.00786725088062,6.89650896857719,1.47390063228527e-08,9.25609597075147e-06,7.0999344931531e-06,"Zfp36l1/Nr4a1/Appl1/Leprotl1/Cpeb1/Epha6/Ncoa2/Sorl1/Myo5a/Sesn3/Insig1/Cul3/Nr4a3/Inhbb/Pten/Slc9a1/Srsf3/Mfn2/Capn10/Pik3r3/Slc2a4/Ptprf/Pdpk1/Tbc1d4/Mbd5/Agtr1a/Inhba/Ptprj/Gria1/Ntrk3/Akr1c18/Ide/Pik3ca/Prkca",34
"GO:1990778","protein localization to cell periphery","34/823","408/28832",0.0833333333333333,2.91940056703119,6.6932041544328,3.07406877586987e-08,1.6721861601818e-05,1.28265871866107e-05,"Errfi1/Appl1/Rabep1/Hycc2/Plekhf1/Sorl1/Myo5a/Hectd1/Golga4/Cask/Slc1a1/Neto2/Grin2a/Washc1/Epb41l1/Snx27/Ift80/Cnpy4/Ccdc88a/Cltc/Wnk1/Gpr158/Fcho2/Pdpk1/Nbea/Rab11fip3/Afdn/Clip1/Adam10/Vps26b/Zdhhc5/Kcnb1/Numb/Lhfpl4",34
"GO:0016358","dendrite development","30/823","332/28832",0.0903614457831325,3.16561507268442,6.8031311948705,3.32839601947013e-08,1.6721861601818e-05,1.28265871866107e-05,"Arc/Pbrm1/Dact1/Mark1/Kidins220/Arid1b/Fat3/Lrrk2/Dclk1/Camsap2/Cask/Pten/Tanc2/Slc9a6/Cntnap2/Mfn2/Cobl/Ptprf/Dhx36/Afdn/Celsr2/Apoe/Clip1/Cdkl5/Adam10/Map2/Numb/Asap1/Syngap1/Ube3a",30
"GO:0051056","regulation of small GTPase mediated signal transduction","25/823","245/28832",0.102040816326531,3.57477620452798,6.93775896107639,4.41959369190973e-08,2.01854897346859e-05,1.54833803885948e-05,"Pik3cg/Arhgef18/Ralgapb/Spry4/Arfgef1/Csnk1a1/Flcn/Madd/Ralgapa1/Rab3gap1/Cdc42bpa/Cul3/Grin2a/Nrg1/Gbf1/Mfn2/Ralgapa2/Sipa1l3/Stk19/Eps8l1/Cbl/Lztr1/Apoe/Syngap1/Dgki",25
