"SYMBOL","ENSEMBL","ENTREZID"
"1700003M07Rik","ENSMUSG00000085389","72225"
"1700016P03Rik","ENSMUSG00000085609","118567915"
"1810055G02Rik","ENSMUSG00000035372","72056"
"2010315B03Rik","ENSMUSG00000074829","630836"
"2210416O15Rik","ENSMUSG00000018378","70393"
"2310058D17Rik","ENSMUSG00000085379","75694"
"2510009E07Rik","ENSMUSG00000043391","72190"
"2610507I01Rik","ENSMUSG00000085882","72203"
"3110070M22Rik","ENSMUSG00000074635","67304"
"5031425E22Rik","ENSMUSG00000073147","269630"
"A230056J06Rik","ENSMUSG00000021557","319469"
"A730008H23Rik","ENSMUSG00000044783","212427"
"A930004D18Rik","ENSMUSG00000054057","77940"
"AA465934","ENSMUSG00000093483","613254"
"Aak1","ENSMUSG00000057230","269774"
"Abhd14a","ENSMUSG00000042210","68644"
"Acaca","ENSMUSG00000020532","107476"
"Acer2","ENSMUSG00000038007","230379"
"Acot13","ENSMUSG00000006717","66834"
"Acp1","ENSMUSG00000044573","11431"
"Adam10","ENSMUSG00000054693","11487"
"Adam19","ENSMUSG00000011256","11492"
"Adam23","ENSMUSG00000025964","23792"
"Adamts1","ENSMUSG00000022893","11504"
"Adcy3","ENSMUSG00000020654","104111"
"Adcy4","ENSMUSG00000022220","104110"
"Adcy9","ENSMUSG00000005580","11515"
"Add2","ENSMUSG00000030000","11519"
"Adi1","ENSMUSG00000020629","104923"
"Afdn","ENSMUSG00000068036","17356"
"Aff4","ENSMUSG00000049470","93736"
"Afg3l1","ENSMUSG00000031967","114896"
"Agap1","ENSMUSG00000055013","347722"
"Agbl5","ENSMUSG00000029165","231093"
"Agfg1","ENSMUSG00000026159","15463"
"Ago2","ENSMUSG00000036698","239528"
"Agtpbp1","ENSMUSG00000021557","67269"
"Agtr1a","ENSMUSG00000049115","11607"
"Aifm1","ENSMUSG00000036932","26926"
"Akap11","ENSMUSG00000022016","219181"
"Akap6","ENSMUSG00000061603","238161"
"Akap9","ENSMUSG00000040407","100986"
"Akr1c18","ENSMUSG00000021214","105349"
"Aldh3a2","ENSMUSG00000010025","11671"
"Alg9","ENSMUSG00000032059","102580"
"Ammecr1l","ENSMUSG00000041915","225339"
"Amotl2","ENSMUSG00000032531","56332"
"Angptl7","ENSMUSG00000028989","654812"
"Ankrd13c","ENSMUSG00000039988","433667"
"Ap2b1","ENSMUSG00000035152","71770"
"Apoe","ENSMUSG00000002985","11816"
"Apol8","ENSMUSG00000056656","239552"
"Appl1","ENSMUSG00000040760","72993"
"Arc","ENSMUSG00000022602","11838"
"Arcn1","ENSMUSG00000032096","213827"
"Arfgef1","ENSMUSG00000067851","211673"
"Arhgef12","ENSMUSG00000059495","69632"
"Arhgef17","ENSMUSG00000032875","207212"
"Arhgef18","ENSMUSG00000004568","102098"
"Arhgef19","ENSMUSG00000028919","213649"
"Arhgef7","ENSMUSG00000031511","54126"
"Arid1a","ENSMUSG00000007880","93760"
"Arid1b","ENSMUSG00000069729","239985"
"Arid2","ENSMUSG00000033237","77044"
"Arid5a","ENSMUSG00000037447","214855"
"Arih1","ENSMUSG00000025234","23806"
"Arl4d","ENSMUSG00000034936","80981"
"Arl5b","ENSMUSG00000017418","75869"
"Armc10","ENSMUSG00000038525","67211"
"Armcx3","ENSMUSG00000049047","71703"
"Arsk","ENSMUSG00000021592","77041"
"Asap1","ENSMUSG00000022377","13196"
"Ascc3","ENSMUSG00000038774","77987"
"Aste1","ENSMUSG00000032567","66595"
"Atf3","ENSMUSG00000026628","11910"
"Atf4","ENSMUSG00000042406","11911"
"Atg2a","ENSMUSG00000024773","329015"
"Atosa","ENSMUSG00000034858","235493"
"Atp2a2","ENSMUSG00000029467","11938"
"Atp6v0a1","ENSMUSG00000019302","11975"
"Atpsckmt","ENSMUSG00000039065","68073"
"Atxn2","ENSMUSG00000042605","20239"
"AU040320","ENSMUSG00000028830","100317"
"B230217O12Rik","ENSMUSG00000097785","320879"
"B230354K17Rik","ENSMUSG00000097119","105246278"
"B3galnt2","ENSMUSG00000039242","97884"
"Baz1b","ENSMUSG00000002748","22385"
"BC023719","ENSMUSG00000092365","100416360"
"Bcl10","ENSMUSG00000028191","12042"
"Bcl6b","ENSMUSG00000000317","12029"
"Bend7","ENSMUSG00000048186","209645"
"Bex1","ENSMUSG00000050071","19716"
"Bex2","ENSMUSG00000042750","12069"
"Bex4","ENSMUSG00000047844","406217"
"Bfsp2","ENSMUSG00000032556","107993"
"Bhlhe40","ENSMUSG00000030103","20893"
