"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005774","vacuolar membrane","9/82","378/28779",0.0238095238095238,8.35627177700348,7.69583647997975,1.33257543391789e-06,0.000189421953305353,0.000145568049359619,"H2-K1/Flcn/Pla2g4e/H2-T22/Gpr137c/Vps39/Hps4/Uvrag/Szt2",9
"GO:0005765","lysosomal membrane","8/82","317/28779",0.0252365930599369,8.85712087404786,7.51933337132195,3.48629361911693e-06,0.000189421953305353,0.000145568049359619,"H2-K1/Flcn/Pla2g4e/H2-T22/Gpr137c/Vps39/Hps4/Szt2",8
"GO:0098852","lytic vacuole membrane","8/82","317/28779",0.0252365930599369,8.85712087404786,7.51933337132195,3.48629361911693e-06,0.000189421953305353,0.000145568049359619,"H2-K1/Flcn/Pla2g4e/H2-T22/Gpr137c/Vps39/Hps4/Szt2",8
"GO:0032398","MHC class Ib protein complex","3/82","26/28779",0.115384615384615,40.4957786116323,10.7699764363763,5.5286262687624e-05,0.00202345941703901,0.00155499948742423,"H2-K1/H2-T22/H2-T23",3
"GO:0042612","MHC class I protein complex","3/82","27/28779",0.111111111111111,38.9959349593496,10.5585424237863,6.20693072711353e-05,0.00202345941703901,0.00155499948742423,"H2-K1/H2-T22/H2-T23",3
"GO:0042611","MHC protein complex","3/82","40/28779",0.075,26.322256097561,8.56673923787572,0.000204131468943895,0.00554557157297582,0.00426169207093395,"H2-K1/H2-T22/H2-T23",3
"GO:0098553","lumenal side of endoplasmic reticulum membrane","2/82","15/28779",0.133333333333333,46.7951219512195,9.48329347808049,0.00082203734432674,0.0191063461036327,0.0146829524464468,"H2-K1/H2-T23",2
"GO:0005942","phosphatidylinositol 3-kinase complex","2/82","16/28779",0.125,43.8704268292683,9.16895179838091,0.000937734778092401,0.0191063461036327,0.0146829524464468,"Pik3r3/Uvrag",2
"GO:0016607","nuclear speck","6/82","438/28779",0.0136986301369863,4.80771800868694,4.29252891861289,0.00158711932810271,0.0280237806518954,0.0215358727644531,"Srsf10/Prkn/Rbm39/Luc7l3/Maml3/Srsf7",6
"GO:0005769","early endosome","6/82","445/28779",0.0134831460674157,4.73209098383119,4.24128312862304,0.00171925034674205,0.0280237806518954,0.0215358727644531,"H2-K1/Rabep1/Pla2g4e/H2-T22/Uvrag/Rabgap1l",6
"GO:0098576","lumenal side of membrane","2/82","25/28779",0.08,28.0770731707317,7.24005007826688,0.0023056656577995,0.0320407467856996,0.0246228535195238,"H2-K1/H2-T23",2
"GO:0033106","cis-Golgi network membrane","2/82","26/28779",0.0769230769230769,26.9971857410882,7.08908869975172,0.00249319727405883,0.0320407467856996,0.0246228535195238,"H2-K1/H2-T22",2
"GO:0043195","terminal bouton","3/82","95/28779",0.0315789473684211,11.083055198973,5.2620269967415,0.00255539698290856,0.0320407467856996,0.0246228535195238,"Prkn/Oxt/Mical1",3
"GO:0043679","axon terminus","4/82","208/28779",0.0192307692307692,6.74929643527205,4.44838768643079,0.00298669030949124,0.0347736086033624,0.0267230185586059,"Srsf10/Prkn/Oxt/Mical1",4
"GO:0044306","neuron projection terminus","4/82","230/28779",0.0173913043478261,6.10371155885472,4.15406770887956,0.00427187425382706,0.0435303291299109,0.0334524324601834,"Srsf10/Prkn/Oxt/Mical1",4
"GO:0030139","endocytic vesicle","4/82","233/28779",0.0171673819742489,6.0251229980111,4.11690653578264,0.00447191324128101,0.0435303291299109,0.0334524324601834,"H2-K1/Rabep1/H2-T23/Uvrag",4
"GO:0005681","spliceosomal complex","4/82","234/28779",0.0170940170940171,5.99937460913071,4.10466356787515,0.00453997297673918,0.0435303291299109,0.0334524324601834,"Rbm3/Tra2a/Tra2b/Luc7l3",4
