"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase-mediated signal transduction","42/872","440/28832",0.0954545454545455,3.15613010842369,8.04864590317485,6.48251226606524e-11,3.32941829985111e-07,2.45721333369483e-07,"Rassf1/Pik3cg/Arhgef18/Ralgapb/Spry4/Arfgef1/Csnk1a1/Flcn/Madd/Ralgapa1/Rab3gap1/Cdc42bpa/Cul3/Rapgef5/Lrrk2/Grin2a/Arhgef12/Ksr2/Nrg1/Elmo1/Gbf1/Ccdc88a/Mfn2/Arhgef7/Ralgapa2/Rab39b/Sipa1l3/Cdc42ep4/Stk19/Eps8l1/Pdpn/Srgap1/Cbl/Rapgef3/Lztr1/Agtr1a/Apoe/Ralgps2/Phactr4/Syngap1/Brap/Dgki",42
"GO:0099173","postsynapse organization","34/872","313/28832",0.108626198083067,3.59164053111352,8.14140383624763,1.44714848246122e-10,3.71627730296041e-07,2.74272720281203e-07,"Arc/Dact1/Mark1/Fam107a/Tanc1/Myo9a/Lrrk2/Fzd9/Dclk1/Cask/Grin2a/Pten/Shank2/Snx27/Etv5/Tanc2/Elmo1/Usp9x/Cntnap2/Mfn2/Arhgef7/Ptprf/Dhx36/Afdn/Apoe/Cdkl5/Adam10/Cnksr2/Numb/Lhfpl4/Ntrk3/Asap1/Syngap1/Ube3a",34
"GO:0010506","regulation of autophagy","32/872","303/28832",0.105610561056106,3.49193084446059,7.70075909473598,1.02191652260164e-09,1.749521086694e-06,1.29120049048719e-06,"Mcl1/Plk3/Depp1/Acer2/Flcn/Uvrag/Plekhf1/Rab3gap1/Sesn3/Mtcl3/Lrrk2/Dele1/Htt/Ubr4/Washc1/Bok/Usp10/Depdc5/Irgm2/Usp33/Dram1/Pink1/Wnk1/Rab39b/Rab3gap2/Hmgb1/Atg2a/Tecpr1/Gnai3/Dapk1/Atp6v0a1/Huwe1",32
"GO:0048193","Golgi vesicle transport","31/872","292/28832",0.106164383561644,3.51024255372628,7.61376802722833,1.63953276798961e-09,2.10516007409866e-06,1.55367302566595e-06,"Trip11/Gcc2/Rabep1/Arcn1/Sec24c/Vti1a/Uvrag/Rabggtb/Sec24b/Sorl1/Myo5a/Insig1/Cul3/Lrrk2/Trappc11/Golga4/Htt/Bltp3b/Tex261/Lman2l/Stxbp5/Bicd2/Gbf1/Cog4/Dop1a/Lman2/Scyl1/Nbea/Stxbp5l/Rab11fip3/Use1",31
"GO:0032868","response to insulin","34/872","356/28832",0.0955056179775281,3.15781878156891,7.23469101570433,4.22918591809313e-09,4.34421977506526e-06,3.20616810337966e-06,"Fos/Egr2/Zfp36l1/Errfi1/Appl1/Cpeb1/Epha6/Ncoa2/Sorl1/Myo5a/Klf15/Sesn3/Insig1/Cul3/Egr1/Meak7/Inhbb/Pten/Slc9a1/Srsf3/Sik2/Mfn2/Capn10/Pik3r3/Slc2a4/Ptprf/Pdpk1/Tbc1d4/Vgf/Ptprj/Ntrk3/Ide/Pik3ca/Prkca",34
"GO:0071375","cellular response to peptide hormone stimulus","36/872","396/28832",0.0909090909090909,3.00583819849875,7.09788158670119,5.52453929815815e-09,4.72900563922338e-06,3.49015193204693e-06,"Fos/Zfp36l1/Nr4a1/Appl1/Leprotl1/Cpeb1/Epha6/Ncoa2/Sorl1/Myo5a/Sesn3/Insig1/Cul3/Nr4a3/Inhbb/Pten/Slc9a1/Srsf3/Sik2/Mfn2/Capn10/Pik3r3/Slc2a4/Ptprf/Pdpk1/Tbc1d4/Mbd5/Agtr1a/Inhba/Ptprj/Gria1/Ntrk3/Akr1c18/Ide/Pik3ca/Prkca",36
"GO:0007030","Golgi organization","20/872","138/28832",0.144927536231884,4.79191596862119,7.88537247766323,6.96683995646026e-09,5.11167000233999e-06,3.77257002755089e-06,"Tjap1/Trip11/Plk3/Gcc2/Arfgef1/Csnk1a1/Vti1a/Akap9/Lrrk2/Trappc11/Camsap2/Htt/Vps13b/Gbf1/Trappc8/Cog4/Cltc/Arhgef7/Vcpip1/Huwe1",20
"GO:0099175","regulation of postsynapse organization","23/872","191/28832",0.120418848167539,3.98155531005332,7.30104419271832,1.98411015397274e-08,1.2737987188505e-05,9.40102719007349e-06,"Arc/Dact1/Mark1/Fam107a/Tanc1/Lrrk2/Dclk1/Cask/Pten/Shank2/Tanc2/Elmo1/Usp9x/Mfn2/Ptprf/Dhx36/Afdn/Apoe/Cdkl5/Adam10/Numb/Asap1/Ube3a",23
"GO:1990778","protein localization to cell periphery","35/872","408/28832",0.0857843137254902,2.83639143730887,6.59739148138988,3.88577464181809e-08,2.21748206226419e-05,1.63657011522654e-05,"Errfi1/Appl1/Rabep1/Hycc2/Plekhf1/Sorl1/Myo5a/Hectd1/Golga4/Cask/Slc1a1/Neto2/Grin2a/Washc1/Epb41l1/Snx27/Ift80/Cnpy4/Ccdc88a/Cltc/Wnk1/Gpr158/Ptpn9/Fcho2/Pdpk1/Nbea/Rab11fip3/Afdn/Clip1/Adam10/Vps26b/Zdhhc5/Kcnb1/Numb/Lhfpl4",35
"GO:0050803","regulation of synapse structure or activity","34/872","401/28832",0.084788029925187,2.8034500903704,6.42243560602804,8.03446524483026e-08,4.12650134974482e-05,3.0454851943825e-05,"Arc/Dact1/Mark1/Fam107a/Ago2/Tanc1/Cd47/Lrrk2/Dclk1/Cask/Pten/Shank2/Snx27/Nrg1/Etv5/Tanc2/Elmo1/Usp9x/Mfn2/Gpr158/Ptprf/Dhx36/Afdn/Apoe/Cdkl5/Adam10/Mycbp2/Numb/Lhfpl4/Ntrk3/Asap1/Syngap1/Ube3a/Prkca",34
