"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032279","asymmetric synapse","44/876","488/28779",0.0901639344262295,2.96213227037952,7.74588330390149,1.76992034553021e-10,1.03894324282623e-07,7.24735804643422e-08,"Bmpr2/Arc/Cpeb1/Tanc1/Akap9/Rps18/Dnajb1/Dclk1/Bsn/Slc1a1/Neto2/Grin2a/Pten/Epb41l1/Shank2/Pclo/Nrg1/Kpna1/Tanc2/Cntnap2/Rpl6/Gopc/Plxna4/Gpr158/Ptprf/Rps6kc1/Pdpk1/Ncs1/Afdn/Drp2/Cdkl5/Slc8a1/Adam10/Dapk1/Cnksr2/Inpp4a/Dagla/Gria1/Map2/Numb/Add2/Syngap1/Erc1/Dgki",44
"GO:0005769","early endosome","40/876","445/28779",0.0898876404494382,2.95305525627213,7.3569448253136,1.31042297883327e-09,2.64492308709017e-07,1.84501942235825e-07,"Wdfy1/H2-K1/H2-T22/Arc/Appl1/Rabep1/Clvs1/Pikfyve/Uvrag/Plekhf1/Sorl1/Rabgap1l/Myo5a/Slc1a1/Ecpas/Htt/Cmtm6/Itch/Washc1/Vps13b/Ldlr/Bltp3b/Bok/Snx27/Usp10/Slc9a6/Cntnap2/Rab22a/Rps6kc1/Gja1/Hmgb1/Cln6/Apoe/Vps26b/Inpp4a/Dagla/Mtmr4/Clcn4/Gria1/Numb",40
"GO:0014069","postsynaptic density","41/876","464/28779",0.0883620689655172,2.90293605337742,7.32203514938529,1.35174944825733e-09,2.64492308709017e-07,1.84501942235825e-07,"Bmpr2/Arc/Cpeb1/Tanc1/Akap9/Rps18/Dnajb1/Dclk1/Bsn/Neto2/Grin2a/Pten/Epb41l1/Shank2/Pclo/Nrg1/Kpna1/Tanc2/Rpl6/Gopc/Gpr158/Ptprf/Rps6kc1/Pdpk1/Ncs1/Afdn/Drp2/Cdkl5/Slc8a1/Adam10/Dapk1/Cnksr2/Inpp4a/Dagla/Gria1/Map2/Numb/Add2/Syngap1/Erc1/Dgki",41
"GO:0055038","recycling endosome membrane","16/876","99/28779",0.161616161616162,5.30953369309534,7.61053542736168,5.06359762679553e-08,5.9913017273937e-06,4.1793533075516e-06,"Rab11b/Sorl1/Slc1a1/Cmtm6/Washc1/Vps13b/Ldlr/Bok/Slc9a6/Slc9a7/Lztr1/Rab11fip3/Inpp4a/Mtmr4/Clcn4/Gria1",16
"GO:0150034","distal axon","36/876","429/28779",0.0839160839160839,2.75687326372258,6.49605144919561,5.10332344752445e-08,5.9913017273937e-06,4.1793533075516e-06,"Slc2a13/Unc5c/Cpeb1/Tanc1/Kcna1/Mical1/Myo9a/Lrrk2/Dclk1/Slc1a1/Grin2a/Shank2/Aak1/Gdpd5/Pclo/Inpp5j/Slc9a6/Usp9x/Arhgef7/Pink1/Nrsn1/Cobl/Ptprn/Kcnma1/Ptprf/Ncs1/Cbl/Kif3c/Rapgef3/Cdkl5/Slc8a1/Map2/Prkca/Dgki/Exoc3/Kcnc3",36
"GO:0055037","recycling endosome","23/876","206/28779",0.111650485436893,3.66802433834286,6.80929867936278,9.16415676813372e-08,8.96560003815749e-06,6.25413505755091e-06,"Rabep1/Tubgcp4/Rab11b/Sorl1/Myo5a/Slc1a1/Cmtm6/Washc1/Vps13b/Ldlr/Bok/Snx27/Amotl2/Slc9a6/Slc9a7/Lztr1/Rab11fip3/Agtr1a/Vps26b/Inpp4a/Mtmr4/Clcn4/Gria1",23
"GO:0031252","cell leading edge","38/876","485/28779",0.0783505154639175,2.57402909193617,6.19431600558093,1.30045469956637e-07,1.0905241552078e-05,7.60717109971904e-06,"Swap70/Atf4/Spry4/Appl1/Unc5c/Fam107a/Myo5a/Sh3rf1/Cdc42bpa/Grin2a/Pde9a/Washc1/Gabra2/Aak1/Gbf1/Inpp5j/Ccdc88a/Cntnap2/Arhgef7/Rab22a/Cobl/Pld2/Eps8l1/Pdpn/Rapgef3/Clip1/Cdkl5/Phactr4/Eef1a1/Ptprj/Dagla/Iqgap2/Kcnb1/Gria1/Map2/Pik3ca/Plekhh2/Kcnc3",38
"GO:0030135","coated vesicle","25/876","254/28779",0.0984251968503937,3.233537374609,6.3351100485621,2.98450786923091e-07,2.18988264904818e-05,1.52759679096161e-05,"Arc/Clvs1/Necap2/Arcn1/Sec24c/Vti1a/Sec24b/Ecpas/Htt/Tex261/Lman2l/Ap2b1/Aak1/Otof/Ccdc88a/Cltc/Gopc/Slc2a4/Lman2/Fcho2/Scyl1/Adam10/Atp6v0a1/Use1/Numb",25
"GO:0090575","RNA polymerase II transcription regulator complex","24/876","249/28779",0.0963855421686747,3.16652913021951,6.0837341548698,7.49374319207483e-07,4.8875858374977e-05,3.40943403709603e-05,"Fos/Nfil3/Atf3/Gtf2h4/Atf4/Smad7/Med14/Cebpb/Gemin5/Maff/E2f3/Smad1/Ncoa2/Junb/Cebpg/Fosl2/Tle4/Hltf/Med1/Med7/Taf6/Cebpz/Tcf3/Cebpd",24
"GO:0005802","trans-Golgi network","24/876","259/28779",0.0926640926640927,3.04426931824192,5.85558297779127,1.51511926129528e-06,8.89375006380332e-05,6.20401465940911e-05,"Tjap1/Gcc2/Clvs1/Arfgef1/Sorl1/Lrrk2/Bsn/Vps13b/Pcsk4/Bok/Pclo/Atxn2/Gbf1/Arl5b/Dop1a/Slc9a7/Slc2a4/Nbea/AU040320/Rab11fip3/Adam10/Ccdc186/Slc35b3/Asap1",24
"GO:0031901","early endosome membrane","20/876","191/28779",0.104712041884817,3.44007745822276,5.99494657893089,1.72231737520614e-06,9.19091181132729e-05,6.41130582732237e-05,"H2-K1/H2-T22/Arc/Appl1/Clvs1/Pikfyve/Sorl1/Slc1a1/Cmtm6/Itch/Washc1/Vps13b/Bok/Snx27/Slc9a6/Inpp4a/Dagla/Mtmr4/Clcn4/Gria1",20
"GO:0030427","site of polarized growth","23/876","250/28779",0.092,3.02245205479452,5.69064995939423,2.81205723060004e-06,0.000129055918801545,9.00255579912151e-05,"Slc2a13/Unc5c/Cpeb1/Myo9a/Lrrk2/Dclk1/Shank2/Gdpd5/Pclo/Inpp5j/Usp9x/Arhgef7/Pink1/Nrsn1/Cobl/Ptprf/Cbl/Kif3c/Rapgef3/Cdkl5/Fry/Map2/Exoc3",23
"GO:0005770","late endosome","26/876","306/28779",0.0849673202614379,2.79140925776703,5.58207697674567,2.85813789509385e-06,0.000129055918801545,9.00255579912151e-05,"Vps37a/Pikfyve/Kidins220/Vti1a/Uvrag/Sorl1/Myo5a/Mon1b/Lrrk2/H2-DMb1/Slc1a1/Ecpas/Htt/Washc1/Ldlr/Tmem192/Nbr1/Slc9a6/Rab22a/Slc2a4/Gja1/Apoe/Vps26b/Vps36/Mtmr4/Clcn4",26
