"SYMBOL","ENSEMBL","ENTREZID"
"1110002E22Rik","ENSMUSG00000090066","102634333"
"1110038B12Rik","ENSMUSG00000092203","68763"
"1500015A07Rik","ENSMUSG00000098702","68982"
"1700003M07Rik","ENSMUSG00000085389","72225"
"1700016P03Rik","ENSMUSG00000085609","118567915"
"1700030C10Rik","ENSMUSG00000099759","69513"
"1700109H08Rik","ENSMUSG00000008307","77036"
"1810055G02Rik","ENSMUSG00000035372","72056"
"2010315B03Rik","ENSMUSG00000074829","630836"
"2310061I04Rik","ENSMUSG00000050705","69662"
"2510002D24Rik","ENSMUSG00000071632","72307"
"2510003B16Rik","ENSMUSG00000028700","76786"
"2810414N06Rik","ENSMUSG00000100594","102640772"
"2810459M11Rik","ENSMUSG00000026227","72792"
"3110070M22Rik","ENSMUSG00000074635","67304"
"4930447C04Rik","ENSMUSG00000021098","75801"
"4930522L14Rik","ENSMUSG00000072762","100041734"
"4930570G19Rik","ENSMUSG00000085084","329782"
"5930430L01Rik","ENSMUSG00000106951","319982"
"6430548M08Rik","ENSMUSG00000031824","234797"
"A230056J06Rik","ENSMUSG00000021557","319469"
"A330041J22Rik","ENSMUSG00000087466","319556"
"A4galt","ENSMUSG00000047878","239559"
"A930005H10Rik","ENSMUSG00000054426","68161"
"Abcb1b","ENSMUSG00000028970","18669"
"Abhd14a","ENSMUSG00000042210","68644"
"Acad9","ENSMUSG00000027710","229211"
"Acot13","ENSMUSG00000006717","66834"
"Acp1","ENSMUSG00000044573","11431"
"Acss2","ENSMUSG00000027605","60525"
"Adamts1","ENSMUSG00000022893","11504"
"Adar","ENSMUSG00000027951","56417"
"Adi1","ENSMUSG00000020629","104923"
"Afg3l1","ENSMUSG00000031967","114896"
"Agtpbp1","ENSMUSG00000021557","67269"
"AI429214","ENSMUSG00000074384","621080"
"Aif1","ENSMUSG00000024397","11629"
"Ak3","ENSMUSG00000024782","56248"
"Akr1c18","ENSMUSG00000021214","105349"
"Alg12","ENSMUSG00000035845","223774"
"Alg9","ENSMUSG00000032059","102580"
"Alkbh5","ENSMUSG00000042650","268420"
"Ammecr1l","ENSMUSG00000041915","225339"
"Amotl2","ENSMUSG00000032531","56332"
"Angptl7","ENSMUSG00000028989","654812"
"Ankrd2","ENSMUSG00000025172","56642"
"Ap5b1","ENSMUSG00000049562","381201"
"Apoe","ENSMUSG00000002985","11816"
"Apol8","ENSMUSG00000056656","239552"
"Apold1","ENSMUSG00000090698","381823"
"Appl1","ENSMUSG00000040760","72993"
"Arc","ENSMUSG00000022602","11838"
"Arcn1","ENSMUSG00000032096","213827"
"Arfgap2","ENSMUSG00000027255","77038"
"Arhgap36","ENSMUSG00000036198","75404"
"Arhgef17","ENSMUSG00000032875","207212"
"Arhgef18","ENSMUSG00000004568","102098"
"Arhgef19","ENSMUSG00000028919","213649"
"Arid5a","ENSMUSG00000037447","214855"
"Arl4d","ENSMUSG00000034936","80981"
"Arl5b","ENSMUSG00000017418","75869"
"Armcx3","ENSMUSG00000049047","71703"
"Arsk","ENSMUSG00000021592","77041"
"Asb1","ENSMUSG00000026311","65247"
"Aste1","ENSMUSG00000032567","66595"
"Atf3","ENSMUSG00000026628","11910"
"Atf4","ENSMUSG00000042406","11911"
"Atosa","ENSMUSG00000034858","235493"
"Atp6v0a1","ENSMUSG00000019302","11975"
"Atp9b","ENSMUSG00000024566","50771"
"AU040320","ENSMUSG00000028830","100317"
"Avp","ENSMUSG00000037727","11998"
"B230354K17Rik","ENSMUSG00000097119","105246278"
"B3galnt2","ENSMUSG00000039242","97884"
"Bahcc1","ENSMUSG00000039741","268515"
"Banp","ENSMUSG00000025316","53325"
