"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060562","epithelial tube morphogenesis","7/49","403/28832",0.0173697270471464,10.2204891882311,7.69104864940795,5.12558931980732e-06,0.00245816876559727,0.00169256744815195,"Dll4/Specc1l/Nrarp/Ext1/Sec24b/Etv5/Stk4",7
"GO:0045912","negative regulation of carbohydrate metabolic process","4/49","73/28832",0.0547945205479452,32.2415431926195,11.0272413974192,7.34970719562383e-06,0.00245816876559727,0.00169256744815195,"Ddit4/Sik1/Hdac4/Sik2",4
"GO:0030812","negative regulation of nucleotide catabolic process","3/49","23/28832",0.130434782608696,76.7488908606921,14.9946374158984,7.97588827254142e-06,0.00245816876559727,0.00169256744815195,"Ddit4/Hdac4/Sik2",3
"GO:0033122","negative regulation of purine nucleotide catabolic process","3/49","23/28832",0.130434782608696,76.7488908606921,14.9946374158984,7.97588827254142e-06,0.00245816876559727,0.00169256744815195,"Ddit4/Hdac4/Sik2",3
"GO:0045820","negative regulation of glycolytic process","3/49","23/28832",0.130434782608696,76.7488908606921,14.9946374158984,7.97588827254142e-06,0.00245816876559727,0.00169256744815195,"Ddit4/Hdac4/Sik2",3
"GO:1903579","negative regulation of ATP metabolic process","3/49","29/28832",0.103448275862069,60.8698099929627,13.3090752567822,1.63385123369617e-05,0.00415720384149369,0.00286243483194483,"Ddit4/Hdac4/Sik2",3
"GO:0048754","branching morphogenesis of an epithelial tube","5/49","194/28832",0.0257731958762887,15.165158847044,8.16790797091158,1.96404424154303e-05,0.00415720384149369,0.00286243483194483,"Dll4/Nrarp/Ext1/Etv5/Stk4",5
"GO:1900543","negative regulation of purine nucleotide metabolic process","3/49","32/28832",0.09375,55.1632653061224,12.6486288147012,2.20987520306338e-05,0.00415720384149369,0.00286243483194483,"Ddit4/Hdac4/Sik2",3
"GO:0045980","negative regulation of nucleotide metabolic process","3/49","33/28832",0.0909090909090909,53.4916512059369,12.4485384378729,2.42795811638178e-05,0.00415720384149369,0.00286243483194483,"Ddit4/Hdac4/Sik2",3
"GO:0010563","negative regulation of phosphorus metabolic process","6/49","381/28832",0.015748031496063,9.26627028764262,6.70167226982177,4.43103214204559e-05,0.00592862544921191,0.00408214382513447,"Ddit4/Hdac4/Dusp1/Gadd45g/Sik2/Spred1",6
"GO:0045936","negative regulation of phosphate metabolic process","6/49","381/28832",0.015748031496063,9.26627028764262,6.70167226982177,4.43103214204559e-05,0.00592862544921191,0.00408214382513447,"Ddit4/Hdac4/Dusp1/Gadd45g/Sik2/Spred1",6
"GO:0061138","morphogenesis of a branching epithelium","5/49","232/28832",0.021551724137931,12.6812104152006,7.37069918660238,4.61671027842589e-05,0.00592862544921191,0.00408214382513447,"Dll4/Nrarp/Ext1/Etv5/Stk4",5
"GO:0001569","branching involved in blood vessel morphogenesis","3/49","45/28832",0.0666666666666667,39.2272108843537,10.5886484478661,6.22472919820357e-05,0.00667722202526313,0.00459758857984579,"Dll4/Nrarp/Stk4",3
"GO:0017145","stem cell division","3/49","46/28832",0.0652173913043478,38.374445430346,10.4670157283701,6.65106137405294e-05,0.00667722202526313,0.00459758857984579,"Fut10/Ext1/Etv5",3
"GO:0001763","morphogenesis of a branching structure","5/49","252/28832",0.0198412698412698,11.6747651441529,7.02242890756695,6.82914440328854e-05,0.00667722202526313,0.00459758857984579,"Dll4/Nrarp/Ext1/Etv5/Stk4",5
"GO:0062014","negative regulation of small molecule metabolic process","4/49","129/28832",0.0310077519379845,18.2452143648157,8.09952725321714,6.93287166802142e-05,0.00667722202526313,0.00459758857984579,"Ddit4/Sik1/Hdac4/Sik2",4
"GO:0006090","pyruvate metabolic process","4/49","147/28832",0.0272108843537415,16.0111064834097,7.52841948703459,0.000114975072558304,0.0104221521654321,0.00717615313552759,"Slc16a1/Ddit4/Hdac4/Sik2",4
"GO:1904627","response to phorbol 13-acetate 12-myristate","2/49","11/28832",0.181818181818182,106.983302411874,14.5057147175228,0.000154105114531023,0.0124987358680161,0.00860598091120617,"Fos/Btg2",2
"GO:1904628","cellular response to phorbol 13-acetate 12-myristate","2/49","11/28832",0.181818181818182,106.983302411874,14.5057147175228,0.000154105114531023,0.0124987358680161,0.00860598091120617,"Fos/Btg2",2
"GO:0006110","regulation of glycolytic process","3/49","64/28832",0.046875,27.5816326530612,8.78368328873594,0.000178667276735186,0.0125148306113146,0.00861706291622335,"Ddit4/Hdac4/Sik2",3
