"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0106310","protein serine kinase activity","6/47","362/28366",0.0165745856353591,10.0032914070765,7.02339224954362,2.86200251607094e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4/Camk1g",6
"GO:0004676","3-phosphoinositide-dependent protein kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0004677","DNA-dependent protein kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0004711","ribosomal protein S6 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0035175","histone H3S10 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0035979","histone H2AXS139 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0044022","histone H3S28 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0044023","histone H4S1 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0044024","histone H2AS1 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0044025","histone H2BS14 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0072354","histone H3T3 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0072371","histone H2AS121 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0072518","Rho-dependent protein serine/threonine kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140823","histone H2BS36 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140855","histone H3S57 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140995","histone H2A kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140997","histone H4 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140998","histone H2B kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:1990244","histone H2AT120 kinase activity","5/47","250/28366",0.02,12.0706382978723,7.16254337237923,5.7929685108654e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0140857","histone H3T45 kinase activity","5/47","251/28366",0.0199203187250996,12.0225481054505,7.14580541455571,5.90342932571401e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
"GO:0035402","histone H3T11 kinase activity","5/47","252/28366",0.0198412698412698,11.9748395812226,7.12916222433781,6.01551129389798e-05,0.000489087222590836,0.000275309441368329,"Sik1/Pim3/Sik2/Sik3/Stk4",5
