"SYMBOL","ENSEMBL","ENTREZID"
"1500015A07Rik","ENSMUSG00000098702","68982"
"1700109H08Rik","ENSMUSG00000008307","77036"
"4930447C04Rik","ENSMUSG00000021098","75801"
"4930522L14Rik","ENSMUSG00000072762","100041734"
"A4galt","ENSMUSG00000047878","239559"
"Adamtsl2","ENSMUSG00000036040","77794"
"Angptl7","ENSMUSG00000028989","654812"
"Apold1","ENSMUSG00000090698","381823"
"Arc","ENSMUSG00000022602","11838"
"Atosa","ENSMUSG00000034858","235493"
"BC023719","ENSMUSG00000092365","100416360"
"Btg2","ENSMUSG00000020423","12227"
"Ccdc117","ENSMUSG00000020482","104479"
"Ccdc177","ENSMUSG00000062961","380768"
"Ccl25","ENSMUSG00000023235","20300"
"Ccn1","ENSMUSG00000028195","16007"
"Ccr5","ENSMUSG00000079227","12774"
"Cd47","ENSMUSG00000055447","16423"
"Chsy1","ENSMUSG00000032640","269941"
"Crybg2","ENSMUSG00000012123","230806"
"Cyp2d22","ENSMUSG00000061740","56448"
"Cyp2u1","ENSMUSG00000027983","71519"
"D030028A08Rik","ENSMUSG00000078700","319371"
"Dcun1d3","ENSMUSG00000048787","233805"
"Desi2","ENSMUSG00000026502","78825"
"Dusp1","ENSMUSG00000024190","19252"
"Eaf1","ENSMUSG00000021890","74427"
"Egr2","ENSMUSG00000037868","13654"
"Elf2","ENSMUSG00000037174","69257"
"Fbxl14","ENSMUSG00000030019","101358"
"Fos","ENSMUSG00000021250","14281"
"Gm10036","ENSMUSG00000058064","100040551"
"Gm10263","ENSMUSG00000066407","100042864"
"Gm12901","ENSMUSG00000083720","194197"
"Gm14434","ENSMUSG00000078881","668039"
"Gm15631","ENSMUSG00000085067","102638038"
"Gm18733","ENSMUSG00000092444","100417644"
"Gm5869","ENSMUSG00000104802","545767"
"Gtpbp10","ENSMUSG00000040464","207704"
"Gxylt1","ENSMUSG00000036197","223827"
"H2-T10","ENSMUSG00000079491","15024"
"Hapstr1","ENSMUSG00000022507","69053"
"Hps1","ENSMUSG00000025188","192236"
"Hps4","ENSMUSG00000042328","192232"
"Hspa1a","ENSMUSG00000091971","193740"
"Hyi","ENSMUSG00000006395","68180"
"Idua","ENSMUSG00000033540","15932"
"Ier2","ENSMUSG00000053560","15936"
"Jrk","ENSMUSG00000046380","16469"
"Lcmt2","ENSMUSG00000074890","329504"
"Marchf7","ENSMUSG00000026977","57438"
"Marveld1","ENSMUSG00000044345","277010"
"Max","ENSMUSG00000059436","17187"
"Mcl1","ENSMUSG00000038612","17210"
"Mdfic2","ENSMUSG00000090667","330390"
"Mex3d","ENSMUSG00000048696","237400"
"Mid1","ENSMUSG00000035299","17318"
"Mir6236","ENSMUSG00000098973","102465959"
"Mroh7","ENSMUSG00000047502","381538"
"Naga","ENSMUSG00000022453","17939"
"Nfu1","ENSMUSG00000029993","56748"
"Npsr1","ENSMUSG00000043659","319239"
"Nr4a1","ENSMUSG00000023034","15370"
"Nup54","ENSMUSG00000034826","269113"
"Nxf1","ENSMUSG00000010097","53319"
"Pafah2","ENSMUSG00000037366","100163"
"Phf13","ENSMUSG00000047777","230936"
"Pink1","ENSMUSG00000028756","68943"
"Pmch","ENSMUSG00000035383","110312"
"Pycr3","ENSMUSG00000022571","66194"
"Rab3d","ENSMUSG00000019066","19340"
"Rpia","ENSMUSG00000053604","19895"
"Rpl3-ps1","ENSMUSG00000084349","100043000"
"Rps18-ps1","ENSMUSG00000083914","100039979"
"Rps18-ps6","ENSMUSG00000069117","100039740"
"Sik1","ENSMUSG00000024042","17691"
"Slc16a1","ENSMUSG00000032902","20501"
"Slc17a7","ENSMUSG00000070570","72961"
"Slc25a17","ENSMUSG00000022404","20524"
"Slc25a25","ENSMUSG00000026819","227731"
"Slc38a11","ENSMUSG00000061171","320106"
"Specc1l","ENSMUSG00000033444","74392"
"Spring1","ENSMUSG00000032840","76792"
"Spry4","ENSMUSG00000024427","24066"
"Stab1","ENSMUSG00000042286","192187"
"Stk10","ENSMUSG00000020272","20868"
"Sytl1","ENSMUSG00000028860","269589"
"Tiparp","ENSMUSG00000034640","99929"
"Tjap1","ENSMUSG00000012296","74094"
"Tmco6","ENSMUSG00000006850","71983"
"Tmed5","ENSMUSG00000063406","73130"
"Tmem198b","ENSMUSG00000047090","73827"
"Tmem86a","ENSMUSG00000010307","67893"
"Tpra1","ENSMUSG00000002871","24100"
"Wdfy1","ENSMUSG00000073643","69368"
"Zfp251","ENSMUSG00000022526","71591"
"Zfp35","ENSMUSG00000063281","22694"
"Zfp955a","ENSMUSG00000094441","77652"
"Zfp992","ENSMUSG00000070605","433791"
