"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"ENSG00000182568",2.34504131732583,7.07837083824557,81.8756462101942,2.26716257668401e-79,5.053278667171e-75,171.239424859256,"Paired_Limma"
"ENSG00000167081",-2.88748527040254,4.37611699514898,-65.6278900644224,9.67793825558559e-72,1.07855782889374e-67,153.515375455773,"Paired_Limma"
"ENSG00000109339",1.39972102068357,9.11552988874263,62.4928811080188,4.64317030050377e-70,3.44972076093095e-66,149.948840590527,"Paired_Limma"
"ENSG00000204262",3.04272253065749,5.28261176523669,60.02803453075,1.11267342246999e-68,6.20009447835838e-65,146.713042868652,"Paired_Limma"
"ENSG00000198963",2.47680387311068,7.00960531564995,58.0375395523436,1.58702930137476e-67,7.07465921966839e-64,144.117924561535,"Paired_Limma"
"ENSG00000074590",2.77397287725933,6.92285074972783,57.7332107505202,2.40091531295484e-67,8.91900023507507e-64,143.704173972139,"Paired_Limma"
"ENSG00000133816",2.62255551639229,6.63040813529875,56.9420336720737,7.11296405588436e-67,2.08696982519496e-63,142.618750733135,"Paired_Limma"
"ENSG00000237187",2.44396679771177,6.52104429100567,56.9046101918704,7.49058217127718e-67,2.08696982519496e-63,142.567023221262,"Paired_Limma"
"ENSG00000117016",2.10884625216161,8.28733870666083,56.5601223201347,1.2077343580548e-66,2.99102123407593e-63,142.084821787851,"Paired_Limma"
"ENSG00000157782",3.21389727161942,5.67765536438394,55.7154212106289,3.94270519648229e-66,8.78789561243937e-63,140.895063452005,"Paired_Limma"
"ENSG00000087095",1.71827518218803,7.07514228810515,54.998043855248,1.091472721528e-65,2.04171055444585e-62,139.885381582684,"Paired_Limma"
"ENSG00000165899",3.6046019882404,3.9947510168674,54.9930912676521,1.09922054167303e-65,2.04171055444585e-62,139.657396676708,"Paired_Limma"
"ENSG00000085377",1.51159155334856,5.13299062424098,53.3762706305799,1.14351094626195e-64,1.95492864458519e-61,137.539713847874,"Paired_Limma"
"ENSG00000109670",2.38339840664936,8.06524101513956,53.3278210728511,1.22791516102977e-64,1.95492864458519e-61,137.456935067658,"Paired_Limma"
"ENSG00000002746",1.97611168581701,6.69721426621781,52.7417728891755,2.92007321504034e-64,4.33903412600228e-61,136.597794394737,"Paired_Limma"
"ENSG00000216863",4.18765042319253,3.47334639015496,51.8760130107577,1.06775507887227e-63,1.4874495595615e-60,134.945595560453,"Paired_Limma"
"ENSG00000119042",3.3758123953599,5.63399491465253,51.2069084349561,2.94950962363953e-63,3.86715411772362e-60,134.292686664894,"Paired_Limma"
"ENSG00000196628",1.27776337994303,8.36881191633885,51.162983196142,3.15433871092381e-63,3.90594752932115e-60,134.199635273904,"Paired_Limma"
"ENSG00000107518",2.52918782722636,9.74760571661065,50.7530665569712,5.91780697607289e-63,6.94221050998361e-60,133.563698170694,"Paired_Limma"
"ENSG00000124785",4.73317920266868,5.0281555838418,50.0534837973766,1.75118901725109e-62,1.95161260027548e-59,132.45468000857,"Paired_Limma"
