"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Method"
"MIR1302-2HG",2.97256561318705,-1.10547959052386,0.781776388654841,-1.41406111333958,0.157343959526469,0.968295827813237,"DESeq2"
"OR4F5",2.38962651330483,-0.301371272641408,1.10182605568418,-0.273519827459763,0.78445365311526,0.999669018586478,"DESeq2"
"AL627309.1",212.911427443932,0.248187355990641,0.195427682121611,1.26997031994781,0.204095202611371,0.97249752079049,"DESeq2"
"AL627309.2",0.630732424265622,-1.11055114690615,1.73415653225467,-0.640398445152045,0.521913593451397,0.990597620690049,"DESeq2"
"AL627309.5",169.437635983035,-0.160154972799705,0.196773378258583,-0.813905693021349,0.415698979061523,0.984712919724403,"DESeq2"
"AP006222.2",18.3485484981049,-0.349873310913184,0.601867351579395,-0.581312991965856,0.561029525994031,0.993301216003598,"DESeq2"
"AC114498.1",10.21027648684,-0.251179089458241,0.393949301615281,-0.637592422244055,0.523739029732629,0.990597620690049,"DESeq2"
"AL669831.2",11.6471331499074,-1.11100908105378,0.910914827466124,-1.21966296689259,0.222592665803128,0.97249752079049,"DESeq2"
"LINC01409",3189.14358334867,-0.109505571729896,0.0831712362800298,-1.31662791883002,0.187963375741182,0.97249752079049,"DESeq2"
"FAM87B",10.5991497139812,-0.876008567685062,0.685485647485168,-1.27793859856711,0.201271076995323,0.97249752079049,"DESeq2"
"LINC01128",903.213997574761,-0.0976396258170612,0.112249868481819,-0.869841783671003,0.384386873619618,0.981163430225428,"DESeq2"
"LINC00115",142.201545899285,0.0576995552770211,0.333165660293592,0.173185781590381,0.862505399414364,0.999669018586478,"DESeq2"
"FAM41C",5.50171097754311,0.0312394754702897,0.411292951425339,0.075954317626959,0.939455442409109,0.999669018586478,"DESeq2"
"AL645608.6",11.5953533130801,-0.0412585236770634,0.305770873217697,-0.134932811758329,0.892664996744731,0.999669018586478,"DESeq2"
"LINC02593",2.5980941796561,-2.25689278024933,0.906365453001112,-2.49004722408209,0.0127726122891606,0.635060105518053,"DESeq2"
"SAMD11",88.8600284392794,-0.836705203912736,0.243427330601885,-3.43718678524693,0.000587790104681442,0.142651060405189,"DESeq2"
"NOC2L",539.297653224262,0.00318180688381064,0.0940138413759513,0.0338440259140878,0.973001528435723,0.999669018586478,"DESeq2"
"KLHL17",62.1232286615591,0.025181021596375,0.175201978631822,0.143725669042195,0.885717100678511,0.999669018586478,"DESeq2"
"PLEKHN1",5.57179624462169,-0.294395099845764,0.689465279871009,-0.426990464118572,0.669386273290139,0.996265616701702,"DESeq2"
"PERM1",1.40901642862067,-0.825763909224855,0.901273835094137,-0.916218664151727,0.359552218133963,0.979909204443468,"DESeq2"
"AL645608.7",45.494364833658,0.150780390869848,0.33165551025226,0.454629536398062,0.649375781842346,0.996121473346612,"DESeq2"
"HES4",656.257306099451,0.0902462199403945,0.277737671331884,0.324933306697723,0.745231548376919,0.998211465454988,"DESeq2"
"ISG15",108.82483732081,0.131760143633277,0.171128404465686,0.769948998500112,0.441330146834067,0.987963148155756,"DESeq2"
"AL645608.1",7.40288514075053,0.00523573414926028,0.34121429871658,0.0153444160134953,0.987757407792154,0.999669018586478,"DESeq2"
"AGRN",129.742907872537,-0.257116800887653,0.142864950698347,-1.79971924275916,0.0719049810861635,0.930298277262895,"DESeq2"
"AL645608.8",0.415523558697304,-0.135353526107157,1.93665955324295,-0.0698902013420514,0.944281052255014,0.999669018586478,"DESeq2"
"C1orf159",2084.77605755516,-0.0269486984210847,0.118367338517485,-0.227670054582699,0.81990275406992,0.999669018586478,"DESeq2"
"AL390719.3",203.095673550426,-0.148873353221457,0.384180578329536,-0.387508795652232,0.69837957462041,0.996498122636737,"DESeq2"
