"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"2164",3.03575010848124,1.24974348917341,12.5554344650383,6.86147061636609e-11,1.75303712777537e-06,13.8265310542444,"Mixed_Effects"
"19182",4.63058350360379,0.375889677770794,12.0012138246571,1.52023335284307e-10,1.94202209658938e-06,11.5576751832798,"Mixed_Effects"
"4771",-0.89810212122031,6.06613369904012,-11.1609454399604,5.36817923640175e-10,4.57172037702761e-06,13.1527140801232,"Mixed_Effects"
"13361",-1.56316483242374,3.30108899665764,-10.2045335271367,2.46490312358316e-09,1.57439524761066e-05,11.6186176856159,"Mixed_Effects"
"4473",-1.1123107391259,4.09712119131884,-9.65730956610055,6.17136309429476e-09,3.13247665992788e-05,10.7537294065933,"Mixed_Effects"
"5949",-0.690259915311024,4.16132242239634,-9.55489098672596,7.35639749484022e-09,3.13247665992788e-05,10.5796134703767,"Mixed_Effects"
"21668",-1.54102785716647,2.04467244633026,-9.2006200527727,1.36382048214086e-08,4.97774992831668e-05,9.7962251617681,"Mixed_Effects"
"5113",-0.900953283026543,2.18739639725662,-9.02882253836695,1.84996573834138e-08,5.90809683111049e-05,9.61342258611323,"Mixed_Effects"
"21671",-1.76216544666792,3.42802938740177,-8.83258896010847,2.63243833292695e-08,6.43574414412941e-05,9.32924862625463,"Mixed_Effects"
"7106",-0.835428725420314,5.16984672133063,-8.81428369654707,2.72117201961553e-08,6.43574414412941e-05,9.26321700726064,"Mixed_Effects"
"29557",-1.9447328783474,5.27675338215368,-8.80429843696938,2.77087892228359e-08,6.43574414412941e-05,9.25855912694558,"Mixed_Effects"
"15814",-0.711667917435183,7.19011755337731,-8.51149982219308,4.7380239211285e-08,9.64831709764254e-05,8.68059666086316,"Mixed_Effects"
"7544",-1.97461720064783,3.88311366485021,-8.46211632411616,5.19234156961826e-08,9.64831709764254e-05,8.66853481336838,"Mixed_Effects"
"11884",0.87776012631651,3.57340512729304,8.4267367362267,5.54545254634408e-08,9.64831709764254e-05,8.59787423015543,"Mixed_Effects"
"25036",1.24920159221392,2.25939386657425,8.41532453491883,5.66459573621818e-08,9.64831709764254e-05,8.57672378738408,"Mixed_Effects"
"17973",-1.08940351413989,1.57169290093191,-8.30900238487038,6.91086474995121e-08,0.000110353552185315,8.27117611813115,"Mixed_Effects"
"19307",-1.67644849869003,1.91425591744893,-8.2225822303881,8.13209819128747e-08,0.000122215868640708,8.1777317117013,"Mixed_Effects"
"11425",-0.641667706226398,2.80605656618818,-8.09165273709626,1.04251618350902e-07,0.000147973588735955,7.99470572479284,"Mixed_Effects"
"21325",-0.946417814392293,5.24103387395311,-8.04794931518626,1.13321246758195e-07,0.000152381291232901,7.83686692969026,"Mixed_Effects"
"4476",-1.42623490316198,2.74896681015032,-7.98942515203492,1.26764571876361e-07,0.000161935402343457,7.8005481328355,"Mixed_Effects"
"8530",0.684859705153729,6.19886370332756,7.87783509944684,1.57173072178373e-07,0.000191219753385011,7.47957069245605,"Mixed_Effects"
"20841",-0.846091992563954,3.83124410182483,-7.83240999191654,1.71631505306323e-07,0.000198698957562517,7.47609627000074,"Mixed_Effects"
"3307",-0.473073033728762,5.2528532522267,-7.81112147331343,1.78874947118787e-07,0.000198698957562517,7.37253762561188,"Mixed_Effects"
"29075",-0.729722394448347,4.0604226893467,-7.7537075558855,2.00031163574134e-07,0.000212941508256481,7.31396012840948,"Mixed_Effects"
"14767",-1.59356327012171,-0.440519496068866,-7.67482971336375,2.33403887525004e-07,0.000238529436895053,6.6503571140977,"Mixed_Effects"
"11700",-0.65174366481141,4.97568241346533,-7.63467174648575,2.52559360831946e-07,0.00024181878418778,7.03938842923664,"Mixed_Effects"
"3092",1.4959365751241,-1.05367677391194,7.61506934384665,2.62493654742066e-07,0.00024181878418778,6.37574880510955,"Mixed_Effects"
"22095",1.39964110633475,-1.63639704832179,7.61021197694303,2.650172592766e-07,0.00024181878418778,5.99289892296661,"Mixed_Effects"
"3430",-1.01365413711592,0.945936680955646,-7.58267464224279,2.79806415571951e-07,0.000246509452118889,6.91870325844146,"Mixed_Effects"
"17934",-0.77548858933555,2.80492263409579,-7.56452832010153,2.90016527182923e-07,0.00024698774176655,6.99955025042924,"Mixed_Effects"
"4217",-1.00644600765206,3.88437063130514,-7.5286449639034,3.11356905338043e-07,0.000250014182748314,6.89165849012925,"Mixed_Effects"
"25047",-0.574369016980575,7.00587253272617,-7.52576023111011,3.1314156514721e-07,0.000250014182748314,6.78340924915603,"Mixed_Effects"
"3983",-0.892267503625286,9.71177991405415,-7.46706051604691,3.51848413921286e-07,0.000272405306887119,6.68763454524755,"Mixed_Effects"
"6335",-0.752474402353586,3.55397964276008,-7.33964684709495,4.53852219478898e-07,0.000330612799091637,6.5311519589003,"Mixed_Effects"
"11915",-0.66148199439924,6.7541723679749,-7.33745313339215,4.55854567878446e-07,0.000330612799091637,6.40992790489682,"Mixed_Effects"
"21451",-1.00849493921595,0.72476042672907,-7.32664681876915,4.65852313879171e-07,0.000330612799091637,6.40214262602354,"Mixed_Effects"
"13762",-0.731156059698733,6.57347989625518,-7.26201437278659,5.30571164879645e-07,0.000366366559230002,6.25875549813111,"Mixed_Effects"
"19643",-0.539089654592192,4.29682567284297,-7.23228533033868,5.6339378353921e-07,0.000378793362516928,6.2654591834567,"Mixed_Effects"
"25474",-0.656763160502093,1.96999116056871,-7.20344663693646,5.97240442133995e-07,0.000390088405664499,6.29896270835548,"Mixed_Effects"
"27344",1.07085045105452,1.08230037282469,7.17007468895567,6.39042868281687e-07,0.000390088405664499,6.20293147381827,"Mixed_Effects"
"12766",-0.786000370401826,2.46411327248248,-7.16070600054352,6.51313293001863e-07,0.000390088405664499,6.22000873359137,"Mixed_Effects"
"23289",0.779503012897566,-0.321091016462289,7.15898649290733,6.53591675750702e-07,0.000390088405664499,5.93827523814005,"Mixed_Effects"
"16367",-0.859829507838204,1.23317754723077,-7.15677462183346,6.5653455883101e-07,0.000390088405664499,6.18384828481787,"Mixed_Effects"
"17055",-1.19163159240928,-0.542480630835637,-7.14066723776403,6.7838222702375e-07,0.000393908807232495,5.80581393475115,"Mixed_Effects"
"12543",-0.539641740712059,3.15984607489949,-7.05364738587279,8.1010877297194e-07,0.000459943756459113,5.9739671350897,"Mixed_Effects"
"5191",1.17854913492938,1.36979534195267,6.98879951963837,9.25259187718416e-07,0.000513901021456909,5.85759290861283,"Mixed_Effects"
"19382",0.562989894565843,6.66027569244105,6.97374426055352,9.54330840752768e-07,0.000518770184050904,5.65722959672243,"Mixed_Effects"
"16228",0.513007698470596,5.32042962101531,6.93557331996653,1.03233946656191e-06,0.000534344713610946,5.60041522543263,"Mixed_Effects"
