,1034_Caudate,1252_Caudate,1262_Caudate,13114_Caudate,13151_Caudate,13281_Caudate,1366_Caudate,1488_Caudate,1572_Caudate,1670_Caudate,1034_Putamen,1252_Putamen,1262_Putamen,13114_Putamen,13151_Putamen,13281_Putamen,1366_Putamen,1488_Putamen,1572_Putamen,1670_Putamen
0,9.0,3.0,21.0,8.0,0.0,18.0,6.0,5.0,6.0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
1,3.0,13.0,6.0,4.0,0.0,9.0,6.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
2,289.0,206.0,278.0,347.0,74.0,338.0,579.0,388.0,281.0,241.0,347.0,365.0,61.0,56.0,42.0,71.0,185.0,236.0,394.0,274.0
3,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
4,356.0,141.0,306.0,186.0,118.0,475.0,559.0,280.0,335.0,85.0,258.0,190.0,60.0,33.0,10.0,88.0,115.0,226.0,423.0,106.0
5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,38.0,54.0,56.0,59.0,2.0,48.0,59.0,14.0,20.0,0.0,43.0,49.0,17.0,5.0,0.0,6.0,8.0,6.0,40.0,0.0
7,15.0,35.0,24.0,21.0,7.0,23.0,22.0,17.0,11.0,5.0,26.0,35.0,8.0,0.0,0.0,0.0,4.0,9.0,27.0,7.0
8,61.0,58.0,19.0,3.0,6.0,47.0,22.0,10.0,9.0,0.0,43.0,22.0,4.0,0.0,0.0,8.0,0.0,0.0,11.0,0.0
9,5817.0,4161.0,6986.0,5933.0,1388.0,4037.0,5837.0,10100.0,5025.0,3866.0,5098.0,5458.0,1512.0,1048.0,346.0,855.0,1661.0,4651.0,5077.0,3355.0
10,52.0,52.0,24.0,24.0,2.0,27.0,17.0,7.0,11.0,3.0,39.0,24.0,4.0,0.0,0.0,4.0,0.0,5.0,24.0,0.0
11,1379.0,1310.0,1629.0,2189.0,357.0,1264.0,1748.0,2660.0,1688.0,873.0,1241.0,1717.0,379.0,340.0,84.0,286.0,566.0,1347.0,1905.0,595.0
12,406.0,180.0,461.0,200.0,37.0,301.0,234.0,188.0,210.0,81.0,535.0,373.0,128.0,24.0,6.0,54.0,41.0,106.0,303.0,64.0
13,6.0,5.0,12.0,13.0,2.0,18.0,16.0,13.0,7.0,2.0,19.0,7.0,5.0,3.0,0.0,0.0,4.0,12.0,5.0,2.0
14,9.0,9.0,31.0,18.0,6.0,20.0,16.0,32.0,31.0,7.0,14.0,17.0,11.0,0.0,3.0,3.0,4.0,17.0,18.0,15.0
15,5.0,0.0,13.0,10.0,4.0,9.0,4.0,13.0,14.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
16,290.0,140.0,269.0,178.0,38.0,265.0,144.0,241.0,251.0,63.0,191.0,139.0,26.0,18.0,0.0,29.0,40.0,78.0,141.0,31.0
17,1063.0,637.0,1223.0,1102.0,267.0,984.0,980.0,1229.0,870.0,348.0,1016.0,1143.0,305.0,162.0,48.0,188.0,258.0,708.0,1218.0,391.0
18,163.0,75.0,149.0,134.0,23.0,66.0,112.0,195.0,67.0,50.0,147.0,99.0,45.0,22.0,5.0,20.0,35.0,101.0,109.0,28.0
19,5.0,3.0,4.0,50.0,2.0,5.0,7.0,18.0,4.0,9.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,5.0,11.0,6.0
20,3.0,5.0,6.0,1.0,3.0,0.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
21,70.0,74.0,201.0,31.0,16.0,17.0,62.0,86.0,100.0,37.0,76.0,118.0,56.0,6.0,8.0,3.0,20.0,57.0,80.0,41.0
22,1613.0,1150.0,1540.0,1287.0,176.0,928.0,1291.0,823.0,1196.0,288.0,1641.0,1921.0,492.0,157.0,59.0,276.0,469.0,477.0,1094.0,169.0
23,172.0,149.0,230.0,190.0,44.0,131.0,185.0,236.0,164.0,85.0,131.0,233.0,48.0,22.0,33.0,34.0,64.0,137.0,190.0,89.0
24,13.0,14.0,18.0,14.0,1.0,20.0,10.0,13.0,11.0,7.0,17.0,26.0,2.0,3.0,0.0,5.0,3.0,7.0,10.0,4.0
25,263.0,164.0,221.0,309.0,52.0,211.0,257.0,334.0,286.0,137.0,188.0,196.0,50.0,54.0,17.0,30.0,48.0,193.0,187.0,135.0
26,1.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,3136.0,2451.0,4690.0,4070.0,979.0,2422.0,3329.0,7991.0,2541.0,2671.0,2866.0,3512.0,894.0,768.0,275.0,468.0,1153.0,3791.0,3176.0,2242.0
28,572.0,269.0,415.0,716.0,77.0,445.0,564.0,233.0,216.0,35.0,571.0,375.0,110.0,148.0,14.0,67.0,85.0,85.0,314.0,16.0
29,9.0,8.0,13.0,7.0,0.0,34.0,17.0,11.0,7.0,0.0,8.0,7.0,3.0,0.0,0.0,5.0,6.0,14.0,3.0,0.0
30,6.0,2.0,4.0,6.0,3.0,3.0,4.0,8.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
31,29.0,29.0,35.0,47.0,9.0,34.0,35.0,63.0,14.0,21.0,30.0,14.0,8.0,4.0,0.0,3.0,6.0,24.0,21.0,11.0
32,9.0,2.0,6.0,5.0,0.0,3.0,3.0,7.0,7.0,3.0,3.0,20.0,0.0,2.0,0.0,0.0,5.0,5.0,10.0,2.0
33,9.0,11.0,17.0,5.0,0.0,13.0,11.0,7.0,8.0,0.0,7.0,6.0,3.0,0.0,0.0,4.0,5.0,4.0,7.0,5.0
34,1990.0,1182.0,1920.0,1800.0,395.0,1530.0,1688.0,1783.0,1485.0,513.0,2111.0,1910.0,490.0,224.0,80.0,287.0,369.0,956.0,1816.0,422.0
35,245.0,112.0,202.0,173.0,40.0,80.0,158.0,203.0,155.0,64.0,234.0,242.0,65.0,31.0,19.0,34.0,68.0,152.0,208.0,65.0
36,14.0,19.0,24.0,14.0,2.0,20.0,29.0,31.0,46.0,7.0,14.0,35.0,7.0,0.0,0.0,12.0,12.0,10.0,40.0,5.0
37,5.0,6.0,6.0,5.0,0.0,8.0,9.0,4.0,7.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0
38,1476.0,880.0,1662.0,1565.0,538.0,1276.0,1521.0,2204.0,1539.0,820.0,1423.0,1559.0,468.0,319.0,124.0,292.0,386.0,1423.0,1719.0,843.0
39,234.0,183.0,372.0,292.0,73.0,286.0,351.0,481.0,224.0,151.0,221.0,258.0,61.0,56.0,16.0,42.0,95.0,244.0,209.0,146.0
40,211.0,157.0,301.0,308.0,73.0,199.0,227.0,292.0,153.0,81.0,286.0,288.0,105.0,53.0,21.0,41.0,62.0,198.0,184.0,126.0
41,4364.0,2658.0,4506.0,4340.0,965.0,2717.0,3453.0,7118.0,3400.0,2610.0,3994.0,3750.0,1037.0,798.0,274.0,561.0,1068.0,3777.0,3284.0,2402.0
42,88.0,58.0,112.0,81.0,20.0,46.0,90.0,117.0,81.0,21.0,100.0,100.0,20.0,12.0,8.0,20.0,20.0,34.0,110.0,20.0
43,1319.0,855.0,1686.0,1662.0,581.0,1242.0,1514.0,2088.0,1122.0,636.0,1445.0,1332.0,390.0,283.0,103.0,215.0,321.0,1064.0,1453.0,554.0
44,140.0,71.0,150.0,142.0,41.0,68.0,129.0,148.0,90.0,38.0,133.0,144.0,43.0,23.0,12.0,22.0,42.0,88.0,91.0,33.0
45,3.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,789.0,505.0,1058.0,693.0,194.0,439.0,640.0,955.0,595.0,215.0,807.0,855.0,226.0,133.0,31.0,156.0,244.0,516.0,757.0,186.0
47,61.0,68.0,96.0,81.0,65.0,54.0,50.0,105.0,104.0,16.0,65.0,115.0,37.0,8.0,8.0,11.0,16.0,98.0,155.0,25.0
48,609.0,168.0,782.0,598.0,90.0,349.0,585.0,543.0,412.0,52.0,692.0,658.0,226.0,91.0,27.0,95.0,115.0,347.0,681.0,78.0
49,3942.0,2923.0,4532.0,4702.0,1234.0,3685.0,4350.0,5927.0,3578.0,2018.0,4141.0,4275.0,1152.0,707.0,221.0,670.0,916.0,3296.0,4646.0,2026.0
50,173.0,108.0,193.0,136.0,36.0,93.0,143.0,159.0,132.0,44.0,174.0,155.0,57.0,18.0,7.0,31.0,20.0,92.0,179.0,44.0
51,1386.0,773.0,1874.0,1364.0,346.0,980.0,1329.0,1914.0,1174.0,677.0,1593.0,1444.0,448.0,283.0,68.0,211.0,281.0,1099.0,1550.0,599.0
52,76.0,81.0,109.0,111.0,39.0,77.0,119.0,146.0,96.0,47.0,98.0,142.0,31.0,31.0,6.0,18.0,29.0,81.0,97.0,33.0
53,567.0,179.0,461.0,634.0,167.0,533.0,654.0,481.0,760.0,104.0,625.0,508.0,180.0,93.0,38.0,153.0,105.0,310.0,1193.0,96.0
54,23.0,12.0,22.0,28.0,2.0,32.0,31.0,30.0,16.0,8.0,25.0,35.0,9.0,2.0,0.0,0.0,7.0,18.0,34.0,6.0
55,280.0,80.0,257.0,231.0,60.0,205.0,285.0,235.0,199.0,52.0,223.0,205.0,77.0,51.0,11.0,44.0,39.0,155.0,340.0,56.0
56,40.0,23.0,47.0,29.0,13.0,49.0,50.0,26.0,64.0,3.0,30.0,33.0,7.0,9.0,3.0,10.0,3.0,6.0,48.0,10.0
57,1890.0,569.0,1679.0,1602.0,598.0,1403.0,2170.0,2052.0,2092.0,477.0,2262.0,2255.0,668.0,367.0,112.0,445.0,387.0,1301.0,3380.0,498.0
58,331.0,181.0,218.0,315.0,193.0,255.0,405.0,788.0,639.0,72.0,300.0,255.0,63.0,76.0,42.0,83.0,76.0,505.0,540.0,67.0
59,784.0,618.0,1076.0,1084.0,319.0,1004.0,1009.0,1643.0,799.0,532.0,812.0,897.0,250.0,156.0,74.0,163.0,234.0,950.0,977.0,546.0
60,535.0,428.0,630.0,576.0,190.0,534.0,607.0,857.0,484.0,291.0,462.0,571.0,168.0,108.0,29.0,106.0,168.0,530.0,605.0,306.0
61,737.0,609.0,948.0,303.0,61.0,426.0,374.0,576.0,557.0,134.0,623.0,836.0,178.0,52.0,15.0,117.0,174.0,300.0,574.0,96.0
