"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",0.000308446719985145,0.0154223359992573,0.0133119110730431,"83/3123","96/4384",83,"ABCA1/ANP32E/AP1G1/AP2B1/AP2M1/AP2S1/AP3B1/AP3S1/ARCN1/ARF1/ARFGAP3/ARFGEF1/ARFGEF2/ARFIP1/ATP1A1/ATP6V1H/ATP7A/BET1/BNIP3/CAV2/CD63/CLCN3/CLN5/CLTA/CLTC/COG2/COPB2/CTSC/DNM1L/DOP1A/DST/EGFR/ERGIC3/GBF1/GLA/GNAS/GOLGA4/ICA1/KIF1B/KRT18/LAMP2/LMAN1/M6PR/MAPK1/MON2/NAPA/NAPG/OCRL/PAM/PPT1/RAB14/RAB22A/RAB2A/RAB5A/RAB9A/RER1/RPS6KA3/SCAMP1/SCRN1/SEC22B/SEC24D/SEC31A/SGMS1/SH3GL2/SNAP23/SOD1/SSPN/STAM/STX12/STX7/TMED10/TMED2/TOM1L1/TPD52/TSG101/TSPAN8/USO1/VAMP3/VAMP4/VAMP7/VPS4B/YIPF6/ZW10",1.21368342405806,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_ANDROGEN_RESPONSE",0.00170274587484921,0.0296935351827979,0.0256302093156782,"85/3123","101/4384",85,"ABCC4/ABHD2/ACSL3/ACTN1/ADRM1/AKAP12/AKT1/ALDH1A3/ANKH/APPBP2/ARID5B/AZGP1/B2M/B4GALT1/BMPR1B/CAMKK2/CCND1/CCND3/CDC14B/CDK6/CENPN/DHCR24/DNAJB9/ELK4/ELL2/ELOVL5/FKBP5/GPD1L/GUCY1A1/H1-0/HMGCR/HMGCS1/HOMER2/HPGD/HSD17B14/IDI1/INPP4B/INSIG1/IQGAP2/ITGAV/KRT19/KRT8/LIFR/LMAN1/MAF/MAK/MAP7/MERTK/MYL12A/NCOA4/NDRG1/NGLY1/NKX3-1/PA2G4/PDLIM5/PGM3/PIAS1/PLPP1/PMEPA1/PTK2B/PTPN21/RAB4A/RPS6KA3/SCD/SEC24D/SELENOP/SGK1/SLC26A2/SLC38A2/SMS/SPCS3/SPDEF/SRP19/STK39/TMPRSS2/TNFAIP8/TPD52/TSC22D1/UAP1/UBE2I/UBE2J1/VAPA/XRCC5/XRCC6/ZBTB10",1.18139767867277,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_NOTCH_SIGNALING",0.00178161211096787,0.0296935351827979,0.0256302093156782,"30/3123","32/4384",30,"APH1A/ARRB1/CCND1/CUL1/DTX2/DTX4/FBXW11/FZD1/FZD5/FZD7/HES1/HEYL/JAG1/KAT2A/LFNG/MAML2/NOTCH1/NOTCH2/NOTCH3/PPARD/PRKCA/PSEN2/PSENEN/RBX1/SAP30/SKP1/ST3GAL6/TCF7L2/WNT2/WNT5A",1.31604226705091,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_HEDGEHOG_SIGNALING",0.00284309688886663,0.0355387111108329,0.0306755190640873,"33/3123","36/4384",33,"ACHE/ADGRG1/AMOT/CDK5R1/CDK6/CELSR1/CNTFR/CRMP1/DPYSL2/ETS2/GLI1/HEY1/HEY2/L1CAM/LDB1/MYH9/NF1/NKX6-1/NRCAM/NRP1/NRP2/OPHN1/PTCH1/RASA1/RTN1/SCG2/SHH/SLIT1/THY1/TLE1/TLE3/UNC5C/VLDLR",1.28679688333867,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_MTORC1_SIGNALING",0.010960933051541,0.10960933051541,0.0946101589711957,"157/3123","200/4384",157,"ABCF2/ACLY/ACSL3/ACTR2/ADD3/AK4/ALDOA/ARPC5L/ASNS/ATP2A2/ATP5MC1/ATP6V1D/BHLHE40/BTG2/BUB1/CACYBP/CALR/CCNF/CCT6A/CD9/CDC25A/CDKN1A/CFP/COPS5/CORO1A/CTH/CTSC/CXCR4/CYB5B/CYP51A1/DAPP1/DDIT3/DHCR24/EBP/EDEM1/EEF1E1/EGLN3/EIF2S2/ELOVL5/ELOVL6/ENO1/EPRS1/ERO1A/FADS2/FDXR/FGL2/FKBP2/G6PD/GAPDH/GBE1/GCLC/GLA/GLRX/GMPS/GOT1/GPI/GSK3B/HK2/HMGCR/HMGCS1/HPRT1/HSP90B1/HSPA4/HSPA5/HSPA9/HSPD1/IDH1/IDI1/IFI30/IGFBP5/IMMT/INSIG1/ITGB2/LDHA/LDLR/LGMN/M6PR/MAP2K3/MCM4/ME1/MLLT11/MTHFD2/MTHFD2L/NFYC/NHERF1/NMT1/NUPR1/P4HA1/PDAP1/PGK1/PGM1/PHGDH/PIK3R3/PITPNB/PLK1/PNO1/PNP/POLR3G/PPA1/PPIA/PSAT1/PSMA4/PSMB5/PSMC2/PSMC6/PSMD12/PSMD13/PSMD14/PSME3/PSMG1/PSPH/QDPR/RAB1A/RDH11/RIT1/RRM2/RRP9/SC5D/SCD/SDF2L1/SEC11A/SERP1/SERPINH1/SHMT2/SKAP2/SLA/SLC1A4/SLC1A5/SLC2A1/SLC2A3/SLC6A6/SLC7A11/SLC7A5/SQLE/SRD5A1/SSR1/STARD4/STC1/STIP1/SYTL2/TBK1/TCEA1/TES/TFRC/TM7SF2/TMEM97/TOMM40/TPI1/TRIB3/TUBA4A/TUBG1/UBE2D3/UCHL5/UNG/USO1/VLDLR/XBP1",1.1019660582773,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0184726859326453,0.134053804518398,0.115709599689565,"61/3123","74/4384",61,"ABCA2/ACAT2/ACTG1/ALCAM/ALDOC/ANXA13/ANXA5/ATF3/ATF5/AVPR1A/CD9/CHKA/CPEB2/CTNNB1/CXCL16/CYP51A1/EBP/ERRFI1/ETHE1/FABP5/FADS2/FBXO6/FDFT1/FDPS/GLDC/GNAI1/GPX8/GSTM2/HMGCR/HMGCS1/HSD17B7/IDI1/JAG1/LDLR/LGMN/LPL/LSS/MAL2/MVD/MVK/NSDHL/PCYT2/PDK3/PLAUR/PLSCR1/PMVK/PNRC1/PPARG/S100A11/SC5D/SCD/SEMA3B/SQLE/SREBF2/STARD4/STX5/TM7SF2/TMEM97/TNFRSF12A/TP53INP1/TRIB3",1.1571686960736,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_MITOTIC_SPINDLE",0.0187675326325758,0.134053804518398,0.115709599689565,"155/3123","199/4384",155,"ABL1/AKAP13/ALMS1/ALS2/ANLN/APC/ARF6/ARFGEF1/ARFIP2/ARHGAP10/ARHGAP27/ARHGAP29/ARHGAP4/ARHGDIA/ARHGEF11/ARHGEF12/ARHGEF2/ARHGEF3/ARHGEF7/ATG4B/BCAR1/BCL2L11/BCR/BIN1/BUB1/CAPZB/CCDC88A/CD2AP/CDC27/CDC42/CDC42BPA/CDC42EP1/CDC42EP4/CDK1/CENPE/CENPF/CEP131/CEP250/CEP57/CKAP5/CLASP1/CLIP1/CLIP2/CNTRL/CTTN/CYTH2/DLG1/DOCK2/DOCK4/DST/DYNC1H1/DYNLL2/ECT2/EPB41/ESPL1/EZR/FARP1/FGD4/FGD6/FLNA/FLNB/GEMIN4/GSN/HOOK3/INCENP/ITSN1/KATNA1/KATNB1/KIF11/KIF1B/KIF20B/KIF22/KIF23/KIF3B/KIF3C/KIF4A/KIF5B/KIFAP3/KLC1/KNTC1/KPTN/LATS1/LLGL1/LRPPRC/MAP1S/MAP3K11/MARCKS/MARK4/MID1/MID1IP1/MYH10/MYH9/MYO1E/MYO9B/NCK2/NEDD9/NEK2/NF1/NOTCH2/NUMA1/OPHN1/PAFAH1B1/PALLD/PCGF5/PCM1/PCNT/PDLIM5/PIF1/PKD2/PLK1/PPP4R2/PRC1/PREX1/PXN/RAB3GAP1/RABGAP1/RACGAP1/RALBP1/RANBP9/RAPGEF5/RAPGEF6/RASA1/RASA2/RASAL2/RFC1/RHOF/RICTOR/ROCK1/SAC3D1/SEPTIN9/SHROOM1/SHROOM2/SMC3/SMC4/SORBS2/SOS1/SPTAN1/SPTBN1/STAU1/STK38L/SUN2/SYNPO/TBCD/TIAM1/TLK1/TOP2A/TPX2/TRIO/TSC1/TUBA4A/TUBGCP2/UXT/WASF1/WASF2/WASL",1.09339525034716,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_HYPOXIA",0.0368868182511504,0.23054261406969,0.198994677407522,"154/3123","200/4384",154,"ACKR3/ADM/AK4/AKAP12/ALDOA/ALDOC/AMPD3/ANGPTL4/ANXA2/ATF3/ATP7A/B3GALT6/B4GALNT2/BCAN/BCL2/BHLHE40/BNIP3L/BRS3/BTG1/CA12/CASP6/CAV1/CAVIN1/CAVIN3/CCN1/CCN5/CCNG2/CDKN1A/CDKN1B/CDKN1C/CHST2/CHST3/CITED2/COL5A1/CP/CSRP2/CXCR4/DCN/DDIT3/DPYSL4/DTNA/EFNA1/EGFR/ENO1/ENO2/ERO1A/ERRFI1/ETS1/EXT1/F3/FAM162A/FBP1/FOS/FOSL2/FOXO3/GAA/GAPDH/GBE1/GCK/GLRX/GPC1/GPC3/GPI/GRHPR/HAS1/HK1/HK2/HMOX1/HS3ST1/HSPA5/IGFBP3/ILVBL/INHA/ISG20/JMJD6/JUN/KDM3A/KIF5A/KLF6/KLF7/KLHL24/LARGE1/LDHA/LOX/LXN/MAP3K1/MT1E/MT2A/MXI1/MYH9/NCAN/NDRG1/NDST1/NOCT/NR3C1/P4HA1/P4HA2/PAM/PDGFB/PDK3/PFKFB3/PFKP/PGAM2/PGF/PGK1/PGM1/PGM2/PHKG1/PLAC8/PLAUR/PLIN2/PNRC1/PPARGC1A/PPFIA4/PPP1R3C/PRDX5/PRKCA/PYGM/RORA/RRAGD/SAP30/SCARB1/SDC2/SDC3/SDC4/SELENBP1/SIAH2/SLC25A1/SLC2A1/SLC2A3/SLC2A5/SLC6A6/SRPX/STBD1/STC1/STC2/SULT2B1/TES/TGFB3/TIPARP/TKTL1/TMEM45A/TNFAIP3/TPBG/TPD52/TPI1/TPST2/UGP2/VHL/VLDLR/WSB1/XPNPEP1/ZFP36/ZNF292",1.08090938200448,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_UV_RESPONSE_DN",0.0449948239883686,0.249971244379825,0.215764653043639,"112/3123","144/4384",112,"ADD3/ADGRL2/AGGF1/AKT3/AMPH/ANXA2/ANXA4/APBB2/ATP2B1/ATP2C1/ATRN/ATRX/ATXN1/BDNF/BHLHE40/BMPR1A/CACNA1A/CAP2/CAV1/CCN1/CDC42BPA/CDK13/CDKN1B/CDON/CELF2/CITED2/COL11A1/COL1A1/COL5A2/DAB2/DBP/DDAH1/DLC1/DLG1/DMAC2L/DYRK1A/EFEMP1/ERBB2/F3/FBLN5/FHL2/FYN/FZD2/GJA1/GRK5/HAS2/ICA1/IGFBP5/INPP4B/INSIG1/IRS1/ITGB3/KALRN/KCNMA1/KIT/LAMC1/LDLR/LPAR1/LTBP1/MAGI2/MAP1B/MAPK14/MET/MGLL/MGMT/MIOS/MMP16/MT1E/MTA1/NEK7/NFIB/NIPBL/NOTCH2/NR1D2/NR3C1/NRP1/PDLIM5/PHF3/PIK3CD/PIK3R3/PLCB4/PLPP3/PMP22/PPARG/PRDM2/PRKAR2B/PRKCA/PRKCE/PTEN/PTPN21/PTPRM/RASA2/RBPMS/RGS4/RUNX1/SCAF8/SCHIP1/SCN8A/SDC2/SIPA1L1/SLC7A1/SMAD3/SMAD7/SNAI2/SPOP/SRI/SYNJ2/TENT4A/TGFBR2/VAV2/VLDLR/WDR37",1.09182765859039,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_P53_PATHWAY",0.052440102322649,0.262200511613245,0.226320441603011,"153/3123","200/4384",153,"ABAT/ABHD4/ACVR1B/ADA/ALOX15B/ANKRA2/APAF1/APP/ATF3/BAIAP2/BLCAP/BTG1/BTG2/CASP1/CCND2/CCND3/CCNK/CCP110/CD81/CD82/CDH13/CDK5R1/CDKN1A/CDKN2A/CDKN2AIP/CDKN2B/CEBPA/CGRRF1/CLCA2/COQ8A/CSRNP2/CTSD/CTSF/CYFIP2/DCXR/DDB2/DDIT3/DEF6/DNTTIP2/DRAM1/EI24/ELP1/EPHX1/EPS8L2/F2R/FAM162A/FBXW7/FDXR/FGF13/FOS/FOXO3/GLS2/GM2A/GPX2/H2AJ/HBEGF/HDAC3/HEXIM1/HINT1/HMOX1/HSPA4L/IER5/IFI30/IL1A/INHBB/IP6K2/IRAG2/IRAK1/ISCU/ITGB4/JUN/KIF13B/KLF4/KRT17/LDHB/MAPKAPK3/MXD1/NDRG1/NHLH2/NINJ1/NOL8/NOTCH1/NUDT15/NUPR1/OSGIN1/PDGFA/PERP/PITPNC1/PLK3/PLXNB2/POLH/PPM1D/PRKAB1/PROCR/PTPN14/PTPRE/PVT1/RAB40C/RACK1/RAD51C/RAD9A/RALGDS/RAP2B/RB1/RCHY1/RHBDF2/RNF19B/RPL18/RPL36/RPS12/RPS27L/RRAD/S100A10/SDC1/SEC61A1/SERTAD3/SESN1/SFN/SLC19A2/SLC35D1/SLC3A2/SLC7A11/SOCS1/SP1/ST14/STOM/TAX1BP3/TCN2/TGFA/TGFB1/TM7SF3/TNFSF9/TOB1/TP53/TP63/TPD52L1/TPRKB/TRAF4/TRAFD1/TRIAP1/TRIB3/TSC22D1/TSPYL2/TXNIP/UPP1/VAMP8/VWA5A/WWP1/XPC/ZBTB16/ZFP36L1/ZMAT3/ZNF365",1.07389048991354,"GSE174409","deseq2","Hallmark","GSE174409_deseq2_Hallmark"
