"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",1.94449917482932e-05,0.000972249587414658,0.000757331257565102,"86/3152","96/4384",86,"ABCA1/SH3GL2/ARFGEF2/SEC24D/NAPA/BNIP3/ATP7A/TPD52/TOM1L1/GNAS/ANP32E/SSPN/AP3B1/COG2/STAM/RAB14/ATP1A1/AP2B1/MON2/NAPG/SEC31A/CLTC/SEC22B/STX7/CLTA/RAB22A/ICA1/CLN5/YIPF6/MAPK1/AP2M1/AP1G1/RAB9A/DNM1L/SCRN1/LMAN1/AP2S1/ARFGEF1/DST/TMED10/VAMP4/VAMP3/DOP1A/EGFR/VAMP7/SGMS1/TSPAN8/SNAP23/USO1/RAB5A/PPT1/ARCN1/COPB2/ATP6V1H/RPS6KA3/STX12/RAB2A/GBF1/SOD1/ARF1/GOLGA4/AP3S1/OCRL/LAMP2/SCAMP1/PAM/CLCN3/ARFGAP3/ARFIP1/KIF1B/BET1/TMED2/CTSC/RER1/ERGIC3/CD63/VPS4B/M6PR/CAV2/GLA/TSG101/SNX2/GALC/COPE/STX16/ZW10",1.24598138747885,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_UV_RESPONSE_DN",0.00039604879573274,0.00569365063528991,0.00443505417906793,"121/3152","144/4384",121,"COL5A2/PRKCE/KALRN/SCN8A/RGS4/AMPH/FHL2/PDLIM5/MMP16/KCNMA1/SDC2/NR3C1/ADGRL2/MGLL/FBLN5/CITED2/CAP2/RASA2/EFEMP1/WDR37/MAP1B/PIK3CD/BDNF/MET/ATRN/PTPRM/ERBB2/BMPR1A/NR1D2/SCHIP1/TENT4A/ADD3/ATP2C1/ICA1/MAPK14/DYRK1A/CDC42BPA/AGGF1/SIPA1L1/ATXN1/LPAR1/IGFBP5/IRS1/GJA1/NFIB/PHF3/PMP22/ATRX/SRI/PLPP3/AKT3/SLC7A1/COL1A1/HAS2/RUNX1/NEK7/DMAC2L/ANXA4/CDKN1B/BHLHE40/LAMC1/INSIG1/PRDM2/TGFBR2/LDLR/ANXA2/LTBP1/MIOS/FYN/VLDLR/PTPN21/PLCB4/MGMT/VAV2/MAGI2/SPOP/SYNJ2/SNAI2/SCAF8/GRK5/NRP1/DBP/CAV1/PPARG/NIPBL/MT1E/F3/PIK3R3/RBPMS/MTA1/SMAD7/DLG1/CCN1/APBB2/CDK13/CACNA1A/CELF2/COL11A1/NOTCH2/FZD2/KIT/ITGB3/SMAD3/ATP2B1/PRKAR2B/DDAH1/DAB2/INPP4B/CDON/PRKCA/MYC/PTEN/DLC1/ATP2B4/TJP1/IGF1R/ZMIZ1/PDGFRB/SERPINE1/ABCC1/PEX14",1.16871122391427,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_ANDROGEN_RESPONSE",0.000486259423295298,0.00569365063528991,0.00443505417906793,"87/3152","101/4384",87,"SEC24D/PDLIM5/PMEPA1/CAMKK2/HOMER2/SMS/ARID5B/TPD52/GUCY1A1/ACSL3/HMGCS1/LIFR/CDK6/ALDH1A3/RAB4A/GPD1L/ANKH/MAP7/ITGAV/NGLY1/SPCS3/STK39/BMPR1B/IDI1/DHCR24/SGK1/ELL2/UAP1/SELENOP/LMAN1/SLC38A2/ABCC4/PA2G4/VAPA/SPDEF/HMGCR/CENPN/ABHD2/PTK2B/AKAP12/PIAS1/SRP19/MAF/INSIG1/B2M/MAK/H1-0/CDC14B/XRCC5/TSC22D1/PTPN21/HSD17B14/RPS6KA3/KRT19/PGM3/NKX3-1/MYL12A/ACTN1/AZGP1/AKT1/IQGAP2/SLC26A2/DNAJB9/XRCC6/FKBP5/MERTK/UBE2J1/APPBP2/CCND3/ELK4/UBE2I/SCD/PLPP1/CCND1/NCOA4/B4GALT1/ZBTB10/NDRG1/TNFAIP8/INPP4B/ADRM1/HPGD/ELOVL5/SRF/SORD/TMEM50A/ZMIZ1",1.19807006081319,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_MTORC1_SIGNALING",0.000492635005064549,0.00569365063528991,0.00443505417906793,"164/3152","200/4384",164,"SYTL2/NMT1/TUBA4A/MLLT11/PHGDH/SLC1A4/TFRC/HPRT1/SKAP2/PSMD12/ELOVL6/TBK1/PSMG1/UCHL5/MTHFD2L/TUBG1/SRD5A1/BUB1/ACSL3/HMGCS1/GPI/SC5D/GCLC/RIT1/PSAT1/NUPR1/GSK3B/GMPS/RAB1A/PGK1/ADD3/PDAP1/ACTR2/SHMT2/GOT1/CCNF/TPI1/IDI1/CORO1A/PPIA/DHCR24/LGMN/HSPA5/HSPA4/SLC7A11/IGFBP5/ARPC5L/CYB5B/RDH11/ME1/ASNS/ERO1A/PSMC6/ITGB2/SEC11A/TOMM40/SLA/NFYC/ALDOA/ATP6V1D/EDEM1/TMEM97/TRIB3/FADS2/HMGCR/PSME3/PITPNB/ABCF2/COPS5/HSPA9/TCEA1/TM7SF2/GLRX/UBE2D3/CACYBP/EGLN3/PSMA4/BHLHE40/GAPDH/INSIG1/PNP/CALR/USO1/LDLR/FGL2/ENO1/PSPH/PSMC2/IMMT/CDC25A/STC1/SDF2L1/ATP2A2/PNO1/AK4/SSR1/VLDLR/PSMD14/SLC1A5/GBE1/UNG/MAP2K3/CCT6A/PSMD13/STARD4/PLK1/CYP51A1/HSP90B1/RRP9/HK2/SLC6A6/EIF2S2/CXCR4/P4HA1/LDHA/PPA1/STIP1/PGM1/CTH/SERP1/MCM4/POLR3G/CFP/SLC2A3/SLC7A5/PIK3R3/G6PD/EEF1E1/DDIT3/SERPINH1/PSMB5/BTG2/QDPR/SQLE/CD9/ATP5MC1/CTSC/SCD/TES/NHERF1/FDXR/IDH1/HSPD1/XBP1/CDKN1A/M6PR/SLC2A1/EPRS1/DAPP1/GLA/PLOD2/ELOVL5/MTHFD2/EBP/NIBAN1/SORD/SQSTM1/BCAT1/ACACA/DHCR7/DDIT4/NUP205/ACLY/WARS1",1.1405076142132,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_MITOTIC_SPINDLE",0.000569365063528991,0.00569365063528991,0.00443505417906793,"163/3152","199/4384",163,"ALS2/RASAL2/RASA1/MYH10/RALBP1/ARHGEF12/NCK2/PDLIM5/FGD4/ARHGEF7/TUBA4A/FLNB/ITSN1/EPB41/ARHGEF3/DYNC1H1/KIF3C/RANBP9/ARHGAP29/TRIO/RASA2/PPP4R2/KIFAP3/SPTAN1/SEPTIN9/CENPE/BUB1/INCENP/SHROOM2/BCR/HOOK3/RAB3GAP1/NEK2/STK38L/CKAP5/KIF20B/RABGAP1/CLASP1/CYTH2/PAFAH1B1/KIF22/KLC1/ARHGEF11/TIAM1/SPTBN1/SMC3/CD2AP/KIF5B/CAPZB/LLGL1/GSN/ALMS1/CDC42BPA/PCM1/TSC1/MID1/OPHN1/SMC4/WASF2/RICTOR/APC/ARFIP2/KIF3B/ABL1/KNTC1/ECT2/CDC27/NF1/NUMA1/STAU1/CDC42/ARFGEF1/PALLD/CDC42EP1/DST/TLK1/CDK1/ROCK1/MID1IP1/EZR/RACGAP1/CNTRL/BIN1/CEP250/ARHGAP10/DOCK2/PREX1/WASL/SYNPO/ARHGAP4/FGD6/ARF6/RAPGEF5/KATNA1/KATNB1/BCL2L11/PIF1/RHOF/PRC1/AKAP13/SORBS2/KIF23/FARP1/MYO1E/MYH9/KPTN/TPX2/KIF11/MARCKS/NEDD9/FLNA/PXN/ANLN/RFC1/PLK1/MAP3K11/CENPF/SAC3D1/PCNT/SHROOM1/MARK4/LATS1/TUBGCP2/ARHGEF2/PCGF5/GEMIN4/MYO9B/LRPPRC/CLIP1/ATG4B/DLG1/CEP57/SUN2/TBCD/KIF1B/ARHGDIA/NOTCH2/UXT/WASF1/CLIP2/SOS1/DOCK4/BCAR1/PKD2/KIF4A/CCDC88A/CDC42EP4/SMC1A/RAPGEF6/DYNLL2/MAP1S/TUBD1/CNTROB/FBXO5/ARL8A/CEP131/CTTN/EPB41L2/CCNB2/MAPRE1/CEP192/TTK/KIF2C",1.13924954722853,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00161843288423152,0.0134869407019293,0.0105056169678186,"162/3152","200/4384",162,"NNT/ATP6V1C1/ACAA2/NDUFA9/MAOB/SLC25A12/GLUD1/GOT2/NQO2/ATP6V0E1/GPI/MGST3/PHYH/ATP6AP1/RHOT1/IDH2/ATP1B1/SUCLA2/NDUFB8/HCCS/PDP1/HADHA/MTX2/ALDH6A1/HSD17B10/HADHB/SLC25A3/COX5A/SLC25A20/TIMM17A/OAT/CYCS/TOMM70/CS/HTRA2/VDAC3/MDH1/ATP6V1G1/BDH2/UQCRC1/POR/PDHA1/ETFB/PDK4/SLC25A5/SLC25A11/ATP6V1E1/ATP6V1D/ATP5F1B/ISCA1/SDHA/MRPS30/MDH2/ALAS1/SLC25A4/NDUFA5/ATP6V1F/UQCRH/GRPEL1/HSPA9/MRPL15/COX7B/CYB5R3/DECR1/IDH3B/VDAC2/ATP5F1A/MRPS22/AFG3L2/MFN2/VDAC1/ABCB7/NDUFB5/IMMT/SUPV3L1/ATP6V0B/ATP5MF/DLD/NDUFA4/POLR2F/NDUFS2/ATP6V1H/FDX1/NDUFAB1/PDHX/PMPCA/UQCRFS1/NDUFB3/TOMM22/CPT1A/CASP7/TIMM50/COX6A1/COX11/ATP5MC3/ATP5PF/NDUFC2/MRPS15/MRPL35/ATP5F1C/ATP5PD/NDUFS8/ECHS1/OPA1/MRPS11/COX6B1/LDHA/DLAT/ACADVL/ACO2/NDUFV1/ATP5PO/LRPPRC/TCIRG1/UQCRB/LDHB/SUCLG1/COX17/ISCU/SDHB/UQCR11/CYC1/ATP5PB/NDUFB4/ATP5MC1/PDHB/UQCRQ/DLST/AIFM1/COX10/NDUFS1/MTRR/ACAT1/NDUFS4/COX6C/IDH1/ACAA1/COX8A/TIMM13/FH/PRDX3/IDH3G/ATP5F1D/GPX4/NDUFA2/OGDH/COX7A2L/BCKDHA/ETFA/MRPL11/NDUFA8/COX5B/TIMM8B/ECI1/OXA1L/UQCRC2/ATP5MC2/NDUFB1/COX7A2/PHB2/CYB5A/SLC25A6",1.12659898477157,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_NOTCH_SIGNALING",0.00225854597693355,0.016132471263811,0.0125663460370739,"30/3152","32/4384",30,"ST3GAL6/WNT2/JAG1/FZD5/HEYL/LFNG/FZD7/MAML2/CUL1/SKP1/WNT5A/NOTCH1/APH1A/HES1/RBX1/PSENEN/ARRB1/SAP30/DTX4/PSEN2/PPARD/DTX2/NOTCH3/NOTCH2/CCND1/KAT2A/TCF7L2/FZD1/FBXW11/PRKCA",1.30393401015228,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_HEDGEHOG_SIGNALING",0.00362974116112742,0.0226858822570464,0.0176711082844361,"33/3152","36/4384",33,"NRCAM/RASA1/ETS2/RTN1/SCG2/CDK6/ACHE/DPYSL2/CDK5R1/CRMP1/HEY2/HEY1/NRP2/OPHN1/NF1/PTCH1/THY1/VLDLR/MYH9/AMOT/ADGRG1/CELSR1/TLE3/UNC5C/SLIT1/NRP1/SHH/L1CAM/LDB1/TLE1/CNTFR/GLI1/PML",1.27495769881557,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_HYPOXIA",0.0046897305352834,0.0260540585293522,0.020294740328127,"160/3152","200/4384",160,"PDK3/SDC2/NR3C1/TPST2/CA12/HK1/KIF5A/CITED2/ENO2/FOXO3/ATP7A/TPD52/MAP3K1/TMEM45A/PFKP/EXT1/UGP2/LARGE1/GPI/HS3ST1/PPARGC1A/BNIP3L/IGFBP3/CHST2/SDC3/PGK1/BRS3/BCAN/TPI1/PPFIA4/ILVBL/EFNA1/SDC4/BTG1/HSPA5/SIAH2/SELENBP1/PNRC1/P4HA2/HMOX1/STBD1/ERO1A/SCARB1/DTNA/INHA/ALDOA/CCNG2/KLHL24/PHKG1/EGFR/SRPX/JMJD6/SLC25A1/PRDX5/KLF6/RRAGD/ALDOC/GLRX/CDKN1B/CCN5/LXN/AKAP12/GPC3/BHLHE40/RORA/GAPDH/FOSL2/PGAM2/NOCT/BCL2/CHST3/FAM162A/ENO1/ANXA2/PGM2/WSB1/FBP1/STC1/AK4/STC2/KDM3A/VLDLR/PLIN2/ERRFI1/ETS1/MYH9/CP/B3GALT6/GBE1/ZNF292/COL5A1/TGFB3/SAP30/TNFAIP3/HK2/SLC6A6/JUN/MXI1/TIPARP/CXCR4/P4HA1/PPP1R3C/PFKFB3/NDST1/CAV1/LDHA/PYGM/PAM/PGM1/MT1E/NCAN/F3/GAA/SLC2A3/XPNPEP1/ATF3/CAVIN1/MT2A/ISG20/HAS1/DDIT3/CCN1/CASP6/KLF7/GRHPR/PDGFB/ADM/PGF/FOS/TES/PLAUR/GPC1/ACKR3/VHL/NDRG1/CDKN1A/DPYSL4/DCN/CAVIN3/ANGPTL4/SLC2A5/SLC2A1/PRKCA/ZFP36/AMPD3/CCN2/KDELR3/PIM1/TGFBI/DDIT4/GCK/PKP1/LOX/NEDD4L/HEXA/NAGK/SERPINE1/CSRP2/ANKZF1/PCK1",1.11269035532995,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00543993485320672,0.0271996742660336,0.0211871146914367,"63/3152","74/4384",63,"PDK3/GSTM2/ALCAM/LPL/JAG1/HMGCS1/SC5D/MAL2/TP53INP1/GLDC/ACAT2/IDI1/LGMN/PNRC1/ANXA5/GNAI1/CPEB2/ATF5/TMEM97/TRIB3/FADS2/HMGCR/ACTG1/CXCL16/PCYT2/FABP5/SREBF2/TM7SF2/ALDOC/AVPR1A/FDPS/LDLR/STX5/ABCA2/S100A11/ERRFI1/NSDHL/STARD4/CTNNB1/CYP51A1/SEMA3B/PLSCR1/FBXO6/PPARG/PMVK/ATF3/HSD17B7/LSS/ETHE1/MVD/SQLE/CD9/GPX8/SCD/FDFT1/CHKA/PLAUR/TNFRSF12A/MVK/EBP/NIBAN1/DHCR7/CBS",1.18411304705721,"GSE174409","paired_limma","Hallmark","GSE174409_paired_limma_Hallmark"
