"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"R-HSA-9012999","RHO GTPase cycle",2.09122479887264e-15,3.47979806532407e-12,2.4918594445514e-12,"365/7271","448/11214",365,"PIK3R1/ARHGEF25/SPATA13/GFOD1/ALS2/FAM13A/PAK1/RASAL2/KALRN/BASP1/RALBP1/EFHD2/PIK3CA/RHOBTB1/SRGAP1/DOCK11/ARHGEF12/TIAM2/ARHGDIG/ARHGAP6/NCK2/PKN1/CFTR/RND2/PCDH7/FGD4/TMPO/ARHGEF7/TNFAIP1/CHN1/GOPC/RHOQ/ITSN1/ESYT1/ARHGEF3/LRRC1/TUBA1B/ARHGEF28/RND1/DIAPH2/RASGRF2/CDC42SE2/ARHGAP29/TFRC/FNBP1L/TRIO/DOCK1/STOM/SOS2/ARHGAP19/OBSCN/CDC37/DOCK10/ARHGAP9/DOCK3/SPTAN1/FAM135A/MYO6/CPNE8/PLXNA1/JAG1/TXNL1/ARHGEF40/STMN2/ITSN2/ARHGAP26/SEMA4F/WIPF2/BCR/IQGAP3/PLXNB1/WDR6/STAM/FLOT2/ABL2/STK10/ARHGAP32/ATP6AP1/RHOC/PAK5/DAAM1/KIDINS220/ERBIN/PTPN13/CUL3/BAIAP2L2/MCF2L/OSBPL11/RBMX/ARHGEF11/MSI2/CYBA/FAM169A/KTN1/ARHGAP35/TIAM1/SPTBN1/PLEKHG3/NUDC/ALDH3A2/DOCK7/ADD3/ARHGAP44/FERMT2/ARHGAP21/CKAP4/STARD13/CLTC/PLXND1/RHOV/ARHGAP18/SHMT2/CAPZB/CDC42EP3/NSFL1C/RAC3/SRGAP3/SLC4A7/PLEKHG4/ARHGEF6/CHN2/CDC42BPA/MACO1/VRK2/RHOBTB2/CPD/SLK/PAK3/PARD6A/FRS2/VANGL2/OPHN1/WASF2/LAMTOR1/ANKFY1/ROCK2/DIAPH3/VAV1/WIPF1/DEF6/VAV3/ELMO2/RAPGEF1/SOWAHC/SAMM50/DOCK9/LMAN1/PLEKHG5/ECT2/HSP90AB1/ARAP2/SWAP70/CDC42/STBD1/GNA13/CDC42EP1/UACA/FRS3/RRAS2/DST/ROCK1/PARD6B/VAPB/ARFGAP2/ARHGAP30/VAMP3/ARL13B/PAK2/GJA1/KCTD3/DEPDC1B/NCKAP1/DOCK5/GOLGA3/WIPF3/BRK1/AMIGO2/LBR/RTKN/CYFIP2/FNBP1/FAM91A1/RACGAP1/VIM/USP9X/FILIP1/ACTG1/WAS/ARHGAP10/NDUFA5/DOCK2/PREX1/TOR1AIP1/TPM4/WASL/NISCH/IQGAP1/SLITRK3/ARHGAP4/FMNL2/SYDE2/BCAP31/DDRGK1/VMA22/ITGB1/NCKAP1L/PTK2B/AKAP12/RHOG/JUP/FGD2/UBXN11/ARHGEF17/RAC1/ARHGAP25/PAK4/WDR91/FARP2/DOCK8/SLITRK5/TWF1/SNAP23/MPP7/ARMCX3/CCT2/TPM3/STX5/SH3BP1/NHS/RHOF/ARHGAP1/AKAP13/FGD5/FAF2/PKN2/ARHGEF19/KCTD13/ARHGEF18/ARHGAP31/DSG1/PLD2/FARP1/PLD1/BLTP3B/COPS4/GIT2/WASF3/SLC1A5/MCF2/PEAK1/RALGAPA1/VAV2/DDX4/VCP/PHIP/ARHGAP45/CCT6A/MOSPD2/RBBP6/NCF2/CIT/ANLN/MAP3K11/SYDE1/MCAM/ARHGAP24/OCRL/CYBB/ARAP1/CEP97/CDC42BPB/WDR11/TMEM59/C1QBP/ABCD3/ACTN1/CPSF7/CAV1/STIP1/TJP2/SH3RF1/WHAMM/DBN1/COPS2/ARHGEF2/PREX2/MYO9B/PIK3R3/GPS1/IQGAP2/ARFGAP3/TMEM87A/SRRM1/CAVIN1/FMNL1/ARHGAP39/RHOU/RHPN2/VANGL1/BAIAP2/MTR/EPSTI1/HGS/RHOJ/DIAPH1/TRIP10/ARHGAP33/NIPSNAP2/NCF1/PGRMC2/HINT2/ARHGDIA/SHKBP1/PKP4/LETM1/PLEKHG1/WASF1/CCT7/EMD/SOS1/SCFD1/EMC3/ARHGDIB/DOCK4/GMIP/STAM2/ACTC1/RAB7A/DOCK6/IL32/CCDC88A/DNMBP/ZNF512B/ABI2/ZAP70/ARHGEF1/ACBD5/CDC42EP4/RHPN1/TAGAP/DBT/EPHA2/NCF4/ARHGEF10L/ARHGAP15/DSG2/WWP2/ANKLE2/SENP1/GARRE1/DLC1/TMOD3/LEMD3/ANKRD26/CCP110/RHOA/FGD3/STK38/KIF14/CYFIP1/RAC2/MTX1/ARHGEF26/NOXO1/RHOB",1.25655429101912,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Signaling by ROBO receptors",5.72005028845129e-10,4.75908183999147e-07,3.40794575080361e-07,"173/7271","206/11214",173,"PAK1/ISL1/ROBO1/FLRT3/SRGAP1/NCK2/NELL2/RPLP1/RPL13A/RPS27/CAP2/SOS2/PABPC1/RNPS1/RPS19/PPP3CB/USP33/PSMD12/PFN2/RPL23A/RPS11/RPS16/NTN1/RPL37/RPL10/RPL27A/RPS6/RPS3/ABL2/PAK5/RPL19/DCC/RPL18A/CLASP1/RPLP2/RPL13/RPS5/RPL3/FAU/CLASP2/RPS20/RPL4/RPS2/SRGAP3/RPS12/RPL35/LHX2/PAK3/RPL18/SLIT2/RPLP0/RPS8/RPL30/LHX4/PSMD11/ABL1/RPL29/SEM1/PSMC1/CDC42/RPL28/COL4A5/PSMC5/PSMC6/UPF3A/PAK2/AKAP5/ELOC/RBM8A/RPS13/RPL11/PSMB2/RPL39/RPS4X/PSMD3/PSMD7/RPL32/RPL21/RPL24/RPL22L1/RPL12/PSMD1/RPS28/NCBP2/RAC1/PSMA4/PAK4/GSPT2/MAGOHB/PSMD8/RPL35A/GSPT1/RBX1/PSMC2/RPSA/NCBP1/RPL37A/RPL7/RPS27L/RPL10A/RPS27A/RPL6/CUL2/PSMD2/UPF2/RPL34/RPS15A/PSMD14/RPL5/PRKAR2A/RPS29/PSMD6/SLIT3/RPS3A/PSMA6/RPL41/PSMD13/RPL23/VASP/UPF3B/RPL9/PSMA1/SLIT1/RPS23/NRP1/CXCR4/RPS15/RPL36/LDB1/CXCL12/PSMB4/RPL26/MYO9B/RPL31/ARHGAP39/UBA52/PSMA5/RPL27/UBC/PSMB7/RPS4Y1/RPL8/CASC3/PSMB5/UBB/PRKACB/EIF4G1/RPS9/DAG1/SOS1/PSMC3/GPC1/EVL/RPS14/ELOB/RPS7/RPL22/MSI1/ADRM1/ENAH/RPS10/PRKCA/RPS24/RPL39L/EIF4A3/ROBO2/PSMA7/RHOA/RPL17/PFN1/PSMB1/RPS26/RPL14",1.29522521307548,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Neuronal System",4.63392196977903e-09,1.95912232001266e-06,1.40291400952324e-06,"319/7271","410/11214",319,"STX1A/KCNS1/NRXN1/GNAL/DLGAP1/HTR3B/KCNH7/PPFIBP1/ADCY1/CAMK2A/GABRB2/SNAP25/GRIN2A/KCNV1/HCN1/SYT1/KCNA2/KCNMB2/CAMK2G/KCNN3/PLCB2/GLRA3/GABBR2/NCALD/GABRA1/GNG7/PDLIM5/KCNJ9/KCNB2/KCNMA1/SLITRK6/CACNG4/ADCY5/KCNJ3/GRIK1/GRIA4/KCNS2/SLITRK1/ARHGEF7/KCNK1/CAMKK2/NEFL/PRKAA2/TUBA4A/KCNH1/KCNH5/GNB1/ADCY2/EPB41L3/SLC32A1/GLS/EPB41/CHRNA2/LRRTM4/KCNN1/HOMER2/TUBA1B/RTN3/SLITRK4/KCNJ2/GNG12/CHAT/RASGRF1/KCNN2/KCNK9/RASGRF2/PRKAR1B/CHRNB3/KCNA5/GLS2/KCNC2/GAD2/KCNB1/LIN7A/PPFIA2/GJC1/PTPRD/GLRB/GABRG2/LRFN2/ACTN2/PPFIA3/PLCB1/KRAS/SLC17A7/NRGN/MYO6/GRIA3/SLC18A3/SLC5A7/ACHE/GNG3/FLOT2/KCNAB3/RPS6KA6/ALDH5A1/KCNJ6/CACNA2D2/TUBB4B/IL1RAPL2/KCND3/KCNK10/CALM3/GABRA5/CAMKK1/KCNH3/CACNG3/CHRNA3/KCNAB2/AP2B1/SLC38A1/RIMS1/KPNA2/CACNA1E/CACNB1/KCNMB4/PPM1E/KCNA4/KCNJ1/NBEA/BCHE/ADCY6/IL1RAP/TUBB2B/GNG2/KCNJ12/GLRA2/PICK1/HSPA8/SYT12/GNAI2/PPFIA4/CACNB3/SYT10/TUBB2A/GABRA3/MAPK1/AP2M1/KCNS3/SYN2/GABRQ/SIPA1L1/PRKAB1/KCNC4/SLC1A6/CACNG2/CACNA2D1/KCNH8/GNB2/CHRNA6/KCNK3/CHRNA4/PRKAG2/GABRB1/SLC38A2/DNAJC5/CHRNA1/AP2S1/RAB3A/GRIA2/GNAI1/STXBP1/KCNAB1/KCNN4/CALM1/ADCY3/KCNH4/AKAP5/SYT7/ABCC8/HOMER1/CALM2/KCNQ5/PRKAB2/RPS6KA2/LRRTM2/GRIN3A/GNB5/LIN7C/DLG3/ARL6IP5/PANX2/AP2A1/PRKAR1A/SYT2/COMT/CREB1/DBNL/GNG5/HTR3A/ABAT/SLITRK3/KCNJ8/ALDH2/KCNC1/GRM1/LRRTM1/ADCY7/RAC1/DLG2/KCNJ11/CAMK2D/APBA2/SLITRK5/GRIA1/KCNQ4/CACNB2/NRXN3/KCNK13/SLC1A1/SYN3/PRKCB/SYN1/EPB41L5/GNG4/CHRNB2/KCND2/ADCY8/MAOA/GRIK3/CACNG8/NTRK3/KCNQ1/KCNMB3/PRKAR2A/KCNK2/KCNJ10/GRM5/RPS6KA3/KCNC3/KCNH2/KIF17/NLGN3/GNB4/SLITRK2/HOMER3/PRKCG/KCNJ4/CAMK4/PTPRS/NPTN/CACNA2D3/LRFN1/PPFIBP2/CAMK1/NRAS/CPLX1/PRKAG1/SLC18A2/GJD2/PPM1F/PANX1/NAAA/MAPK3/GRIP1/NRG1/GABRA2/GRIN2D/SLC6A11/DLG1/TUBB6/KCNQ3/GABRA6/TSPOAP1/SLC1A3/LRFN4/GABRB3/PRKX/VAMP2/CACNA1A/KCNG3/SLC6A13/SHANK1/GNG10/KCNJ14/AP2A2/BEGAIN/KCNQ2/PRKAA1/PRKACB/GLRA1/GRIN2C/GRIP2/PRKAR2B/CACNA1B/ERBB4/SLC6A1/GAD1/KCNH6/HCN2/CASK/GABRG3/KCNMB1/GRIK4/NLGN4X/TUBA1A/DLGAP4/APBA3/KCNA1/GRIK5/PRKCA/LIN7B/SHANK2/PDPK1/CACNB4/TUBB3/IL1RAPL1/GABRA4/MAPT/SHARPIN/PLCB3/EPB41L2/GLUL/ADCY9/TUBA1C/GNB3/GRIK2/DLGAP3/GRIN2B",1.19997786059555,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Antigen processing: Ubiquitination & Proteasome degradation",4.70942865387659e-09,1.95912232001266e-06,1.40291400952324e-06,"237/7271","296/11214",237,"FBXW7/HERC1/ATG7/KLHL13/UBE2E3/FBXO9/ASB1/HECW2/UBE2E2/FBXO40/LNPEP/TRIM71/ASB13/TRIM37/FBXO27/UBE2V2/NEDD4/LNX1/RNF182/PSMD12/HERC5/TRIM36/UBE2L3/FBXO32/CBLB/UBA1/UBE2K/ZBTB16/UBE2Z/TRIM32/UBA5/HERC6/KCTD7/TRAIP/SMURF2/CUL3/RNF41/UBE2Q2/FBXW4/GLMN/RNF114/STUB1/KLHL11/ANAPC4/UBE2N/RNF111/RNF217/WWP1/CCNF/ZNRF2/TPP2/FBXW2/FBXO11/UBE2B/BTBD1/HACE1/UBE2M/ASB8/CUL1/FBXO15/SKP1/SIAH2/RNF115/CDC34/PSMD11/BTBD6/KLHL42/ANAPC1/CDC27/SEM1/PSMC1/UBA7/PJA2/UBE2W/PSMC5/PSMC6/LTN1/UBE2Q1/KCTD6/ELOC/UBE2D1/KLHL25/PSMB2/KLHL9/TRIM9/DZIP3/PSMD3/PSMD7/TRIM4/KLHL20/RNF213/LMO7/DTX3L/SKP2/RNF6/RNF19A/PSMD1/AREL1/SPSB4/CUL5/SPSB1/RNF7/KLHL3/SIAH1/UBE2D3/FBXL19/RNF14/FBXL12/FBXO41/TRIM21/PSMA4/RNF220/LRSAM1/FBXL7/PSMD8/FBXL4/RCHY1/UFL1/RNF19B/TRIM11/FBXO22/UBE4A/RBX1/FBXW8/PSMC2/UBE2O/FBXL3/MKRN1/UBR2/HERC2/FBXL13/WSB1/SMURF1/UBE2D4/BTRC/RPS27A/KLHL41/GAN/CUL2/FBXO31/PSMD2/UBE2A/UBE3C/KLHL2/ASB5/PSMD14/DCAF1/PSMD6/PJA1/FBXO21/HECTD1/PSMA6/UBE2F/MEX3C/ANAPC11/RBBP6/PSMD13/RLIM/UBE3D/FBXL20/NPEPPS/RBCK1/FBXO7/FBXW5/UBE3B/THOP1/FBXO4/PSMA1/FZR1/KBTBD7/FBXO10/UBE2R2/FBXO6/HUWE1/ANAPC13/ITCH/FBXL22/UBE2D2/FBXO2/SH3RF1/UBOX5/KLHL22/PSMB4/UBA3/FBXW10/FBXL15/FBXO44/UBA52/RNF144B/UBE2G2/UBE2L6/PSMA5/UBC/UBA6/UBAC1/CDC16/LRRC41/PSMB7/UBE2J1/HERC4/UBE2G1/CDC26/PSMB5/UBB/LRR1/RNF4/RNF126/HECTD2/KBTBD6/RNF123/RNF25/PSMC3/TRIM69/FBXL16/VHL/ELOB/CDC23/SPSB2/HECTD3/FBXW11/ADRM1/RNF130/TRIP12/UBR1/FBXL5/ASB6/PSMA7/KLHL21/DET1/ANAPC10/PSMB1/TRAF7/FBXL8/KLHL5/NEDD4L/ASB7/SOCS3",1.23487512405818,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Neddylation",1.10509318004983e-08,3.67775010320583e-06,2.63361153645559e-06,"190/7271","233/11214",190,"FBXW7/DCAF6/WSB2/KLHL13/FBXO9/ASB1/COPS7A/FBXO40/ASB13/FBXO27/PSMD12/FEM1B/FBXO32/DCUN1D2/ZBTB16/DCAF4/KCTD7/CUL3/FBXW4/KLHL11/CCNF/BRCA1/DCUN1D1/FBXW2/FBXO11/COMMD2/BTBD1/UBE2M/ASB8/CUL1/FBXO15/SKP1/NPLOC4/PSMD11/BTBD6/KLHL42/NFE2L2/DDB1/SEM1/PSMC1/ANKRD9/NUB1/COMMD7/PSMC5/PUM2/COMMD9/PSMC6/CCDC8/KCTD6/ELOC/DCAF8/UBE2D1/KLHL25/DCUN1D5/PSMB2/KLHL9/PSMD3/AMER1/PSMD7/CAND1/RBBP5/KLHL20/LMO7/COPS7B/SKP2/COMMD5/COPS5/COPS8/PSMD1/SPSB4/CUL5/SPSB1/RNF7/KLHL3/UCHL3/UBE2D3/FBXL19/FBXL12/FBXO41/PSMA4/FBXL7/PSMD8/FBXL4/FBXO22/RBX1/FBXW8/TULP4/PSMC2/FBXL3/NAE1/FBXL13/WSB1/CUL4A/BTRC/RPS27A/DCAF10/DCAF13/KLHL41/GAN/CUL2/FBXO31/PSMD2/DCUN1D4/KLHL2/ASB5/PSMD14/COPS4/VCP/PSMD6/FBXO21/UFD1/PSMA6/UBE2F/COMMD6/CUL4B/PSMD13/COMMD3/FBXL20/COPS3/FBXO7/FBXW5/FBXO4/PSMA1/KBTBD7/COP1/FBXO10/FBXO6/DCAF16/SOCS5/SOCS6/FBXL22/RBBP7/UBE2D2/FBXO2/DCAF17/COPS2/KLHL22/PSMB4/UBA3/FBXW10/FBXL15/GPS1/SPSB3/DCUN1D3/FBXO44/OBSL1/UBA52/NEURL2/COMMD4/COMMD10/PSMA5/UBC/SOCS2/DDA1/LRRC41/PSMB7/UBXN7/PSMB5/UBB/LRR1/DDB2/SENP8/FEM1A/DCAF7/KBTBD6/PSMC3/FEM1C/FBXL16/VHL/ELOB/CDKN1A/SPSB2/DCAF5/FBXW11/MUL1/PALB2/ADRM1/FBXL5/ASB6/PSMA7/COMMD8/SQSTM1/HIF3A/KLHL21/CCDC22/PSMB1/FBXL8/KLHL5/ASB7/SOCS3",1.2576624287324,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","RAC2 GTPase cycle",1.45595867456385e-08,4.03785872412374e-06,2.89148284141452e-06,"80/7271","88/11214",80,"PIK3R1/PAK1/PIK3CA/TMPO/ESYT1/TFRC/TRIO/DOCK1/DOCK10/DOCK3/ARHGAP26/BCR/ARHGAP32/ERBIN/CYBA/ARHGAP35/TIAM1/ARHGAP21/VRK2/OPHN1/WASF2/LAMTOR1/DIAPH3/VAV1/DEF6/VAV3/SAMM50/LMAN1/SWAP70/CDC42/STBD1/CDC42EP1/VAPB/VAMP3/PAK2/DEPDC1B/NCKAP1/BRK1/LBR/RACGAP1/DOCK2/PREX1/IQGAP1/ITGB1/NCKAP1L/PAK4/SLITRK5/MPP7/ARMCX3/NHS/ARHGAP1/PLD2/GIT2/MCF2/VAV2/NCF2/SYDE1/MCAM/CYBB/CAV1/PIK3R3/ARHGAP39/VANGL1/NCF1/PGRMC2/ARHGDIA/EMD/DOCK4/RAB7A/ABI2/CDC42EP4/EPHA2/NCF4/DSG2/ANKLE2/GARRE1/LEMD3/CYFIP1/RAC2/MTX1",1.40208299471124,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","RAC1 GTPase cycle",1.79752306797524e-08,4.27296912158686e-06,3.05984377886913e-06,"154/7271","185/11214",154,"PIK3R1/ARHGEF25/SPATA13/ALS2/FAM13A/PAK1/KALRN/RALBP1/PIK3CA/SRGAP1/DOCK11/TIAM2/PKN1/TMPO/ARHGEF7/CHN1/ESYT1/RASGRF2/ARHGAP29/TFRC/TRIO/DOCK1/SOS2/DOCK10/ARHGAP9/DOCK3/JAG1/ARHGAP26/WIPF2/BCR/IQGAP3/ABL2/ARHGAP32/PAK5/ERBIN/MCF2L/ARHGEF11/CYBA/KTN1/ARHGAP35/TIAM1/PLEKHG3/DOCK7/ARHGAP44/FERMT2/ARHGAP21/SRGAP3/PLEKHG4/ARHGEF6/CHN2/CDC42BPA/VRK2/PAK3/PARD6A/OPHN1/WASF2/LAMTOR1/DIAPH3/VAV1/WIPF1/DEF6/VAV3/DOCK9/ECT2/ARAP2/SWAP70/CDC42/GNA13/CDC42EP1/ARHGAP30/VAMP3/PAK2/DEPDC1B/NCKAP1/DOCK5/WIPF3/BRK1/AMIGO2/LBR/CYFIP2/RACGAP1/WAS/ARHGAP10/DOCK2/PREX1/WASL/NISCH/IQGAP1/ARHGAP4/SYDE2/ITGB1/NCKAP1L/RAC1/ARHGAP25/PAK4/FARP2/DOCK8/SNAP23/MPP7/SH3BP1/NHS/ARHGAP1/FGD5/PKN2/ARHGEF19/ARHGEF18/ARHGAP31/PLD2/FARP1/PLD1/GIT2/WASF3/SLC1A5/MCF2/VAV2/ARHGAP45/NCF2/CIT/MCAM/ARHGAP24/CYBB/ARAP1/CAV1/PREX2/MYO9B/PIK3R3/IQGAP2/FMNL1/ARHGAP39/VANGL1/BAIAP2/ARHGAP33/NCF1/ARHGDIA/PLEKHG1/WASF1/EMD/SOS1/ARHGDIB/DOCK4/GMIP/RAB7A/DOCK6/ABI2/CDC42EP4/TAGAP/EPHA2/NCF4/ARHGAP15/GARRE1/DLC1/LEMD3/CYFIP1/NOXO1",1.28385329353559,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Regulation of expression of SLITs and ROBOs",3.23882428969318e-08,6.73675452256182e-06,4.82414354727985e-06,"134/7271","159/11214",134,"ISL1/ROBO1/RPLP1/RPL13A/RPS27/PABPC1/RNPS1/RPS19/USP33/PSMD12/RPL23A/RPS11/RPS16/RPL37/RPL10/RPL27A/RPS6/RPS3/RPL19/RPL18A/RPLP2/RPL13/RPS5/RPL3/FAU/RPS20/RPL4/RPS2/RPS12/RPL35/LHX2/RPL18/SLIT2/RPLP0/RPS8/RPL30/LHX4/PSMD11/RPL29/SEM1/PSMC1/RPL28/COL4A5/PSMC5/PSMC6/UPF3A/ELOC/RBM8A/RPS13/RPL11/PSMB2/RPL39/RPS4X/PSMD3/PSMD7/RPL32/RPL21/RPL24/RPL22L1/RPL12/PSMD1/RPS28/NCBP2/PSMA4/GSPT2/MAGOHB/PSMD8/RPL35A/GSPT1/RBX1/PSMC2/RPSA/NCBP1/RPL37A/RPL7/RPS27L/RPL10A/RPS27A/RPL6/CUL2/PSMD2/UPF2/RPL34/RPS15A/PSMD14/RPL5/RPS29/PSMD6/RPS3A/PSMA6/RPL41/PSMD13/RPL23/UPF3B/RPL9/PSMA1/SLIT1/RPS23/RPS15/RPL36/LDB1/PSMB4/RPL26/RPL31/UBA52/PSMA5/RPL27/UBC/PSMB7/RPS4Y1/RPL8/CASC3/PSMB5/UBB/EIF4G1/RPS9/DAG1/PSMC3/RPS14/ELOB/RPS7/RPL22/MSI1/ADRM1/RPS10/RPS24/RPL39L/EIF4A3/ROBO2/PSMA7/RPL17/PSMB1/RPS26/RPL14",1.29979266302162,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","RHOG GTPase cycle",6.14047134515127e-08,1.13530492425908e-05,8.12984042422366e-06,"68/7271","74/11214",68,"PIK3R1/KALRN/ARHGDIG/TMPO/ITSN1/ESYT1/TFRC/TRIO/DOCK1/DOCK3/ARHGAP32/ERBIN/MCF2L/KTN1/ARHGAP35/PLEKHG3/ARHGAP21/SHMT2/VRK2/OPHN1/LAMTOR1/DIAPH3/VAV1/VAV3/ELMO2/LMAN1/CDC42/STBD1/CDC42EP1/VAPB/VAMP3/PAK2/DEPDC1B/DOCK5/LBR/NDUFA5/DOCK2/PREX1/ITGB1/RHOG/PAK4/MPP7/STX5/ARHGAP1/PLD1/MCF2/VAV2/MAP3K11/MCAM/CAV1/IQGAP2/ARFGAP3/ARHGAP39/VANGL1/PGRMC2/ARHGDIA/LETM1/EMD/ARHGDIB/DOCK4/RAB7A/EPHA2/DSG2/ANKLE2/GARRE1/LEMD3/CYFIP1/ARHGEF26",1.41724064870812,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
"R-HSA-9012999","Cellular response to starvation",1.58458560561892e-07,2.63675044774989e-05,1.88815884795855e-05,"131/7271","157/11214",131,"ATP6V1C1/RPLP1/RPL13A/RPS27/RPS19/ATF2/ATP6V1B2/DEPDC5/FNIP2/RPL23A/IMPACT/RPS11/RPS16/ATP6V1A/ATP6V0E1/RPL37/RPL10/RPL27A/RPS6/RPS3/SEH1L/RPL19/ATP6V0D1/RPL18A/RPLP2/RPL13/RPS5/RPL3/FAU/RPS20/RPL4/RPS2/RPS12/RPL35/RPL18/LAMTOR1/RPLP0/RPS8/RPL30/KICS2/CEBPG/WDR59/CASTOR2/MTOR/ATP6V1G1/RPL29/LAMTOR3/RPL28/ASNS/EIF2S1/ATP6V1E1/ATF4/ATP6V1D/RPS13/RPL11/SEC13/RPL39/TRIB3/RPS4X/RHEB/RPL32/SH3BP4/ATP6V1F/RPL21/ATP6V0E2/RPL24/RPL22L1/RPL12/MLST8/RPS28/RRAGD/RPL35A/RRAGA/ATP6V1E2/RPSA/ATP6V0B/MIOS/RPL37A/RPL7/RPS27L/RPL10A/RPS27A/RPL6/NPRL2/ITFG2/SAMTOR/RPL34/RPS15A/RPL5/KPTN/RPS29/ATP6V1H/RPS3A/RPL41/RPL23/RPL9/SESN1/EIF2AK4/RPS23/EIF2S2/RPS15/RPL36/RPL26/FLCN/EIF2S3/TCIRG1/RPL31/ATF3/UBA52/RPL27/DDIT3/RPS4Y1/RPL8/RPS9/ATP6V1C2/LAMTOR2/RPS14/WDR24/RPS7/RPL22/CASTOR1/RRAGB/LAMTOR5/RPS10/RPTOR/RPS24/RPL39L/RPL17/RPS26/RPL14/NPRL3",1.28687999705663,"GSE174409","paired_limma","Reactome","GSE174409_paired_limma_Reactome"
