"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"R-HSA-9937080","Developmental Lineage of Multipotent Pancreatic Progenitor Cells",0.000834100719734597,0.0892487770116019,0.07199606212446,"2/27","18/11214",2,"CXCR4/CER1",46.1481481481481,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Defective B3GALTL causes PpS",0.00352990631777161,0.124952194816941,0.100797638711158,"2/27","37/11214",2,"SEMA5B/ADAMTS20",22.4504504504505,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","O-glycosylation of TSR domain-containing proteins",0.00372049696128007,0.124952194816941,0.100797638711158,"2/27","38/11214",2,"SEMA5B/ADAMTS20",21.859649122807,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","GPCR ligand binding",0.00467111008661463,0.124952194816941,0.100797638711158,"5/27","468/11214",5,"LPAR3/CXCR4/VIP/RXFP2/HTR2A",4.43732193732194,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Class A/1 (Rhodopsin-like receptors)",0.00789116619418305,0.168870956555517,0.136226447983792,"4/27","334/11214",4,"LPAR3/CXCR4/RXFP2/HTR2A",4.97405189620758,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Diseases associated with O-glycosylation of proteins",0.0118596109666293,0.179152165919276,0.144520192871428,"2/27","69/11214",2,"SEMA5B/ADAMTS20",12.0386473429952,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Developmental Cell Lineages of the Exocrine Pancreas",0.0168516111581071,0.179152165919276,0.144520192871428,"2/27","83/11214",2,"CXCR4/CER1",10.0080321285141,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Interleukin-21 signaling",0.0238273072244107,0.179152165919276,0.144520192871428,"1/27","10/11214",1,"STAT4",41.5333333333333,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Diseases of metabolism",0.0243840737347983,0.179152165919276,0.144520192871428,"3/27","262/11214",3,"SEMA5B/ADAMTS20/G6PC3",4.7557251908397,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Regulation of signaling by NODAL",0.0261797405254587,0.179152165919276,0.144520192871428,"1/27","11/11214",1,"CER1",37.7575757575758,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Serotonin receptors",0.028526714283007,0.179152165919276,0.144520192871428,"1/27","12/11214",1,"HTR2A",34.6111111111111,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Interleukin-35 Signalling",0.028526714283007,0.179152165919276,0.144520192871428,"1/27","12/11214",1,"STAT4",34.6111111111111,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Specification of primordial germ cells",0.028526714283007,0.179152165919276,0.144520192871428,"1/27","12/11214",1,"CXCR4",34.6111111111111,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Nephron development",0.028526714283007,0.179152165919276,0.144520192871428,"1/27","12/11214",1,"IRX2",34.6111111111111,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Lysosphingolipid and LPA receptors",0.03086824068136,0.179152165919276,0.144520192871428,"1/27","13/11214",1,"LPAR3",31.948717948718,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Gastrulation",0.0309689509893365,0.179152165919276,0.144520192871428,"2/27","115/11214",2,"CXCR4/EPHA4",7.2231884057971,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","O-linked glycosylation",0.031966413098674,0.179152165919276,0.144520192871428,"2/27","117/11214",2,"SEMA5B/ADAMTS20",7.0997150997151,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Early Phase of HIV Life Cycle",0.0332043318787185,0.179152165919276,0.144520192871428,"1/27","14/11214",1,"CXCR4",29.6666666666667,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Tryptophan catabolism",0.0332043318787185,0.179152165919276,0.144520192871428,"1/27","14/11214",1,"KMO",29.6666666666667,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Developmental Cell Lineages",0.0334863861531357,0.179152165919276,0.144520192871428,"2/27","120/11214",2,"CXCR4/CER1",6.92222222222222,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Formation of definitive endoderm",0.0355350000072248,0.181059285751098,0.146058646646237,"1/27","15/11214",1,"CXCR4",27.6888888888889,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Glycogen storage diseases",0.0378602571730258,0.184138523523353,0.148542635798474,"1/27","16/11214",1,"G6PC3",25.9583333333333,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Trafficking of GluR2-containing AMPA receptors",0.0401801154563203,0.185167046158033,0.149372334333091,"1/27","17/11214",1,"GRIP2",24.4313725490196,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Receptor-type tyrosine-protein phosphatases",0.047107417425074,0.185167046158033,0.149372334333091,"1/27","20/11214",1,"IL1RAPL2",20.7666666666667,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Diseases of glycosylation",0.047204565634634,0.185167046158033,0.149372334333091,"2/27","145/11214",2,"SEMA5B/ADAMTS20",5.72873563218391,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Signaling by NODAL",0.0516988446326124,0.185167046158033,0.149372334333091,"1/27","22/11214",1,"CER1",18.8787878787879,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","RA biosynthesis pathway",0.0516988446326124,0.185167046158033,0.149372334333091,"1/27","22/11214",1,"CRABP1",18.8787878787879,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Phosphorylated BMAL1:CLOCK (ARNTL:CLOCK) activates expression of core clock genes",0.0539865618587492,0.185167046158033,0.149372334333091,"1/27","23/11214",1,"RORC",18.0579710144928,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","G alpha (s) signalling events",0.0550263383384895,0.185167046158033,0.149372334333091,"2/27","158/11214",2,"VIP/RXFP2",5.25738396624473,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","RORA,B,C and NR1D1 (REV-ERBA) regulate gene expression",0.0562689640417362,0.185167046158033,0.149372334333091,"1/27","24/11214",1,"RORC",17.3055555555556,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Interleukin-20 family signaling",0.0585460630561131,0.185167046158033,0.149372334333091,"1/27","25/11214",1,"STAT4",16.6133333333333,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Gluconeogenesis",0.060817870750946,0.185167046158033,0.149372334333091,"1/27","26/11214",1,"G6PC3",15.974358974359,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Activation of G protein gated Potassium channels",0.0676016640278989,0.185167046158033,0.149372334333091,"1/27","29/11214",1,"KCNJ3",14.3218390804598,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","G protein gated Potassium channels",0.0676016640278989,0.185167046158033,0.149372334333091,"1/27","29/11214",1,"KCNJ3",14.3218390804598,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.0676016640278989,0.185167046158033,0.149372334333091,"1/27","29/11214",1,"KCNJ3",14.3218390804598,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","EPHA-mediated growth cone collapse",0.0698524244276523,0.185167046158033,0.149372334333091,"1/27","30/11214",1,"EPHA4",13.8444444444444,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Signaling by BMP",0.0720979523729725,0.185167046158033,0.149372334333091,"1/27","31/11214",1,"CER1",13.3978494623656,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Trafficking of AMPA receptors",0.0720979523729725,0.185167046158033,0.149372334333091,"1/27","31/11214",1,"GRIP2",13.3978494623656,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.0720979523729725,0.185167046158033,0.149372334333091,"1/27","31/11214",1,"GRIP2",13.3978494623656,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Interaction between L1 and Ankyrins",0.0720979523729725,0.185167046158033,0.149372334333091,"1/27","31/11214",1,"SCN5A",13.3978494623656,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Neuronal System",0.0742530288914446,0.185167046158033,0.149372334333091,"3/27","410/11214",3,"KCNJ3/GRIP2/IL1RAPL2",3.0390243902439,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Glucagon-type ligand receptors",0.076573357664565,0.185167046158033,0.149372334333091,"1/27","33/11214",1,"VIP",12.5858585858586,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Phase 0 - rapid depolarisation",0.0788032583302526,0.185167046158033,0.149372334333091,"1/27","34/11214",1,"SCN5A",12.2156862745098,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Diseases of carbohydrate metabolism",0.0788032583302526,0.185167046158033,0.149372334333091,"1/27","34/11214",1,"G6PC3",12.2156862745098,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Expression of BMAL (ARNTL), CLOCK, and NPAS2",0.0788032583302526,0.185167046158033,0.149372334333091,"1/27","34/11214",1,"RORC",12.2156862745098,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Inwardly rectifying K+ channels",0.0810279731804394,0.185167046158033,0.149372334333091,"1/27","35/11214",1,"KCNJ3",11.8666666666667,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Peptide ligand-binding receptors",0.0837707040074301,0.185167046158033,0.149372334333091,"2/27","201/11214",2,"CXCR4/RXFP2",4.13266998341625,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
"R-HSA-9937080","Neurotransmitter receptors and postsynaptic signal transmission",0.0866429447504112,0.185167046158033,0.149372334333091,"2/27","205/11214",2,"KCNJ3/GRIP2",4.0520325203252,"GSE225158","deseq2","Reactome","GSE225158_deseq2_Reactome"
