"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",6.97830107927394e-06,0.000348915053963697,0.000337896683838528,"41/448","200/4384",41,"STAT4/TNFAIP3/HLA-B/XAF1/CMPK2/NMI/IL18BP/IFI44L/ZBP1/DDX60/SAMD9L/IFI44/UBE2L6/USP18/TNFAIP6/PARP12/TAP1/CD40/CASP7/MT2A/STAT1/EPSTI1/LGALS3BP/HLA-A/LAP3/B2M/SSPN/PARP14/CD74/IRF5/OAS2/BTG1/VCAM1/CSF2RB/IFIH1/BST2/MX2/ISG20/BANK1/CMKLR1/RNF31",2.00607142857143,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.000603992976648485,0.0150998244162121,0.0146229878557002,"21/448","97/4384",21,"CMPK2/NMI/IFI44L/DDX60/SAMD9L/IFI44/UBE2L6/USP18/PARP12/TAP1/EPSTI1/LGALS3BP/LAP3/B2M/PARP14/CNP/CD74/IFIH1/BST2/ISG20/RNF31",2.11855670103093,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_UV_RESPONSE_UP",0.00467007145357668,0.077834524226278,0.0753765918822902,"27/448","158/4384",27,"IL6ST/TMBIM6/SLC6A12/RHOB/MMP14/TAP1/CA2/E2F5/SLC6A8/CDKN2B/LYN/AMD1/SQSTM1/TCHH/PRKACA/LHX2/CNP/BTG1/ONECUT1/RXRB/ABCB1/YKT6/GRINA/NTRK3/SPR/KCNH2/SELENOW",1.67224231464738,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_COMPLEMENT",0.0313326776413624,0.391658470517029,0.379290308290176,"29/448","200/4384",29,"PFN1/TNFAIP3/CTSD/RHOG/GNAI2/CTSO/APOBEC3F/MMP14/LAMP2/C1QA/CTSB/CA2/C1QC/CSRP1/CASP7/LYN/TIMP1/LAP3/PPP2CB/PDGFB/S100A13/PIK3CG/ATOX1/C3/PIK3R5/PRDM4/ANXA5/VCPIP1/F7",1.41892857142857,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_P53_PATHWAY",0.0774948276774967,0.708240169722406,0.68587469067854,"27/448","200/4384",27,"CTSD/GM2A/ANKRA2/PVT1/NHLH2/NINJ1/ABHD4/CD82/TAP1/CDKN2B/NOTCH1/RETSAT/TCHH/BAX/PTPN14/RNF19B/BTG1/IER5/CCND2/MAPKAPK3/RPL36/CDKN2A/PCNA/TOB1/TRIAP1/TGFA/RB1",1.32107142857143,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_PANCREAS_BETA_CELLS",0.107593622443729,0.708240169722406,0.68587469067854,"7/448","40/4384",7,"SYT13/PCSK1/CHGA/PAX6/PCSK2/SRP9/PAK3",1.7125,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.115266075639252,0.708240169722406,0.68587469067854,"26/448","200/4384",26,"ADAM12/SGCB/COL7A1/TNFAIP3/FZD8/PTHLH/SPARC/COL5A3/LAMA3/RHOB/MMP14/THBS2/SLC6A8/TIMP1/PMP22/ABI3BP/TNFRSF11B/VCAM1/CDH6/FBN2/LOX/ELN/LAMA2/DAB2/EFEMP2/CD44",1.27214285714286,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_HEME_METABOLISM",0.165174637687685,0.708240169722406,0.68587469067854,"25/448","200/4384",25,"ANK1/GDE1/RAD23A/LRP10/GYPC/UCP2/LAMP2/CTSB/RBM38/CA2/SLC6A8/EPOR/TRIM58/IGSF3/TMEM9B/OPTN/SLC22A4/HEBP1/NEK7/ADIPOR1/C3/NCOA4/SLC30A10/ABCB6/KHNYN",1.22321428571429,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_BILE_ACID_METABOLISM",0.166011369936528,0.708240169722406,0.68587469067854,"15/448","112/4384",15,"PEX12/RBP1/SLC35B2/NUDT12/OPTN/RETSAT/SLC23A1/SLC27A5/IDH1/PEX26/HSD17B11/ABCG8/ABCA6/NPC1/ABCA9",1.31058673469388,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_PEROXISOME",0.171635903234526,0.708240169722406,0.68587469067854,"14/448","104/4384",14,"CRABP1/RDH11/SLC35B2/FIS1/RETSAT/IDH1/PEX5/HSD17B11/CLN8/ABCB1/TSPO/PEX2/HMGCL/CEL",1.31730769230769,"GSE225158","mixed_effects","Hallmark","GSE225158_mixed_effects_Hallmark"
