"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"hsa04140","Autophagy - animal",7.15586639906863e-05,0.0126287087754538,0.0102739378952613,"30/750","169/8866",30,"1509/4893/5595/8837/3916/6199/58476/3920/140775/57617/1508/64121/64422/10133/8878/11337/5516/9342/5566/22800/53349/2081/9140/26100/8503/10652/23130/5562/64419/3708",2.09846153846154,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Parkinson disease",8.01793785851048e-05,0.0126287087754538,0.0102739378952613,"42/750","271/8866",42,"7054/221074/2771/468/4509/4540/7922/4512/2861/5706/27173/10975/4513/9246/4538/3798/4519/4508/4514/4535/3800/4537/9817/10382/4536/4709/1616/5682/4713/5566/581/539/10376/517/7494/2081/113457/7317/11047/118424/3708/4700",1.83208856088561,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Phospholipase D signaling pathway",0.000113545534425999,0.0126287087754538,0.0102739378952613,"27/750","149/8866",27,"23566/255189/4893/5595/3815/109/387/57121/382/146850/139189/5336/375/5332/5155/5294/22800/8525/1759/107/23533/2916/399694/8503/2914/10554/2915",2.14212080536913,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Axon guidance",0.000149011312984705,0.0126287087754538,0.0102739378952613,"31/750","184/8866",31,"2043/54437/2044/151449/7852/7225/7223/2771/80031/4893/5595/54910/387/5879/9901/56896/1630/91584/5336/6585/4776/64221/1073/10627/1947/2050/56924/5063/8503/5362/10154",1.99163768115942,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Pathways of neurodegeneration - multiple diseases",0.000298964648071622,0.0177681071449463,0.0144550351559569,"63/750","483/8866",63,"2893/127602/369/468/4509/4893/5595/4540/5609/1857/4512/8324/2861/8325/5706/10975/4513/9246/5879/4538/3798/4519/4508/5621/140775/4514/4535/3800/4537/840/10382/4536/4709/10133/1616/8878/5682/4713/581/5332/8326/539/6712/10376/517/53349/7494/2081/113457/196385/7317/1536/55567/26100/10671/5582/4741/2915/23130/11047/118424/3708/4700",1.54191304347826,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Non-small cell lung cancer",0.000314479772476925,0.0177681071449463,0.0144550351559569,"16/750","73/8866",16,"369/4893/5595/3798/595/3800/5336/3082/581/6257/8503/5582/1029/5915/7039/5925",2.59097716894977,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Apoptosis",0.000451461083253855,0.0210013492805715,0.0170854013709353,"24/750","137/8866",24,"1509/468/4893/5595/8837/1522/1519/1508/840/3563/1616/5414/581/4803/10376/1439/329/2081/113457/8503/63970/3708/4170/143",2.07089051094891,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Protein processing in endoplasmic reticulum",0.000495607062668353,0.0210013492805715,0.0170854013709353,"28/750","171/8866",28,"258010/133022/573/57134/468/5609/5886/51009/5589/51360/84447/84061/7466/581/26232/821/51128/3998/29978/7494/2081/2923/23471/6400/5034/9709/1603/118424",1.93565692007797,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Glutamatergic synapse",0.000644023233889135,0.0242582084764907,0.0197349809682986,"21/750","116/8866",21,"3760/2893/255189/2771/5595/2790/109/9454/54407/22941/5566/5332/107/2916/246213/156/2914/5582/2915/2752/3708",2.14006896551724,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
"hsa04140","Prion disease",0.0010938492099708,0.03708148821801,0.0301672097907735,"39/750","278/8866",39,"468/4509/5595/4540/4512/713/5706/10975/4513/5879/4538/3798/4519/4508/5621/712/4514/4535/714/3800/4537/10382/4536/4709/1535/4851/5682/4713/5566/581/539/10376/517/113457/1536/8503/11047/3708/4700",1.65838848920863,"GSE225158","mixed_effects","KEGG","GSE225158_mixed_effects_KEGG"
