"ID","Description","pvalue","p.adjust","qvalue","GeneRatio","BgRatio","Count","geneID","FoldEnrichment","Dataset","Method","Database","Analysis_ID"
"R-HSA-114604","GPVI-mediated activation cascade",0.000234436220771322,0.254229589796472,0.251363642672321,"11/1051","35/11214",11,"RHOG/RHOA/RAC1/RHOB/PIK3R6/PLCG2/VAV3/LYN/PIK3CG/PIK3R5/PIK3R3",3.35337773549001,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Defective B3GALTL causes PpS",0.000403368219842147,0.254229589796472,0.251363642672321,"11/1051","37/11214",11,"SEMA5B/ADAMTS20/THSD4/ADAMTS4/ADAMTS12/THSD7A/ADAMTS1/THBS2/ADAMTS6/ADAMTS13/THSD7B",3.17211407411217,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","O-glycosylation of TSR domain-containing proteins",0.000520251548014608,0.254229589796472,0.251363642672321,"11/1051","38/11214",11,"SEMA5B/ADAMTS20/THSD4/ADAMTS4/ADAMTS12/THSD7A/ADAMTS1/THBS2/ADAMTS6/ADAMTS13/THSD7B",3.08863738795132,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Neuronal System",0.000911142372213676,0.296261086933273,0.29292131593819,"58/1051","410/11214",58,"GRIP2/IL1RAPL2/KCNJ3/GRIA4/KCNC2/GNAI2/KPNA2/KCNJ10/CAMK1/NRAS/EPB41L3/MAPK3/GNG10/GJD2/GABRQ/GABBR2/CACNB3/KCNJ1/CACNG3/CACNA2D2/COMT/ADCY3/RASGRF2/RAC1/SLC6A12/HOMER3/KCNC1/SLC38A2/CHRNA3/RASGRF1/RPS6KA2/KCNK6/NAAA/KCNB2/TUBB4A/KCNK3/PPM1E/SHANK2/PRKACA/TUBA1B/KCNK4/HCN1/ADCY1/NLGN3/TUBA3D/HCN2/GRIP1/TSPOAP1/ARL6IP5/PRKCG/SHARPIN/GRM5/NTRK3/GLUL/PRKAA1/KCNK2/KCNH2/KCNN2",1.50939175233808,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","p75NTR regulates axonogenesis",0.00120764222894716,0.296261086933273,0.29292131593819,"5/1051","10/11214",5,"LINGO1/RHOA/NGF/MCF2/MAG",5.3349191246432,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Platelet activation, signaling and aggregation",0.00133821685475115,0.296261086933273,0.29292131593819,"40/1051","262/11214",40,"PFN1/TRPC6/RHOG/GNAI2/TTN/MAPK3/PCYOX1L/GNG10/SPARC/RHOA/MMRN1/RAC1/TRPC7/RHOB/AAMP/LAMP2/P2RY1/PIK3R6/DGKK/PLCG2/VAV3/LYN/TIMP1/LGALS3BP/PSAP/HGF/CD9/NHLRC2/PDGFB/PIK3CG/DGKZ/PRKCE/PIK3R5/ANXA5/GNA15/PIK3R3/CD63/PRKCG/SELENOP/ITPR1",1.62898293882235,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Diseases associated with O-glycosylation of proteins",0.00153367587756047,0.296261086933273,0.29292131593819,"15/1051","69/11214",15,"SEMA5B/ADAMTS20/THSD4/ADAMTS4/ADAMTS12/THSD7A/ADAMTS1/THBS2/NOTCH1/ADAMTS6/ADAMTS13/DAG1/THSD7B/LARGE1/MUC19",2.31953005419269,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","RHO GTPases activate CIT",0.00161670443074092,0.296261086933273,0.29292131593819,"7/1051","20/11214",7,"RHOA/MYL6/RAC1/RHOC/RHOB/CDKN1B/MYL12A",3.73444338725024,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Interleukin-35 Signalling",0.00323536800450738,0.43118631769162,0.426325525570016,"5/1051","12/11214",5,"STAT4/IL6ST/IL12A/STAT1/CANX",4.44576593720266,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","Killing mechanisms",0.00323536800450738,0.43118631769162,0.426325525570016,"5/1051","12/11214",5,"DVL3/FZD7/RAC1/CYBA/NOXA1",4.44576593720266,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
"R-HSA-114604","WNT5:FZD7-mediated leishmania damping",0.00323536800450738,0.43118631769162,0.426325525570016,"5/1051","12/11214",5,"DVL3/FZD7/RAC1/CYBA/NOXA1",4.44576593720266,"GSE225158","mixed_effects","Reactome","GSE225158_mixed_effects_Reactome"
