"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"FAM163A",3.61662730030213,1.5455963707163,11.6896849245861,3.14050102474651e-08,0.000799383130838977,7.48347283828251,"F","gse225158"
"AC012409.2",-1.70686263525251,2.36603004809738,-10.1072393343565,1.72158385939759e-07,0.00219105977785531,6.85755610018506,"F","gse225158"
"RXFP2",4.72465859076215,0.400568955119956,9.20319023891649,5.0185365474413e-07,0.00425806097595236,4.55809432252344,"F","gse225158"
"SLC26A3",1.20941978041927,3.75552139114013,8.14690838042145,1.94587697895959e-06,0.0123825881556093,5.3405703097488,"F","gse225158"
"DYNLRB1",1.21929940634248,2.10794529173172,7.95059436660782,2.53767153077544e-06,0.0129187782288716,4.8700073164262,"F","gse225158"
"LINC00587",1.35823253036886,-0.544599351844786,7.65382582479239,3.82407796912515e-06,0.0162230134376852,3.49490709920037,"F","gse225158"
"GDF7",1.65488258870777,-0.569571050163482,7.27864506092317,6.52187585743634e-06,0.0237154040107406,3.17800634012086,"F","gse225158"
"LINC01967",1.35310816521929,1.43368868205647,7.16445323273465,7.6995621658082e-06,0.0244980819210602,3.76639088663111,"F","gse225158"
"NR2F2-AS1",-2.09873640535304,3.67238469932357,-7.07029284403137,8.84015928117122e-06,0.0250019349269925,3.87156989293282,"F","gse225158"
"MIR924HG",0.983408385079331,2.08934709641178,6.15070891923108,3.62450836643307e-05,0.079574261548452,2.53116793685634,"F","gse225158"
"HTR2A",-1.91613212078355,1.5406333309243,-6.13737339450567,3.70257135097271e-05,0.079574261548452,2.29005428075144,"F","gse225158"
"IRX2",-2.7764217855369,-2.50867666782269,-6.1291754194855,3.75143843239343e-05,0.079574261548452,0.915825010217285,"F","gse225158"
"RORC",-2.65923030421745,-2.80854987237203,-5.99437790420087,4.6602672231473e-05,0.0912480322292242,0.710335847539016,"F","gse225158"
"RMRP",2.24273506800274,2.48912260659802,5.92037323481664,5.25534873542453e-05,0.0955497476510685,2.20767007917741,"F","gse225158"
"AC010624.5",1.17970907608388,3.13956186950504,5.68806460987499,7.70179565426144e-05,0.103736813376242,1.86517887137012,"F","gse225158"
"DPP10-AS2",-2.3934454689653,-2.554835387133,-5.68489799634194,7.74242939352043e-05,0.103736813376242,0.502205985617186,"F","gse225158"
"CASC6",-1.11418601269437,-0.366174128468854,-5.68165593129552,7.78426473637998e-05,0.103736813376242,1.28442358094312,"F","gse225158"
"NPIPA2",1.49193859648916,-1.33199017345771,5.67712092578618,7.84318293757733e-05,0.103736813376242,1.10468071923893,"F","gse225158"
"AC012447.1",1.07104692907718,1.35225321647699,5.66795063488268,7.96375822668583e-05,0.103736813376242,1.75491845988516,"F","gse225158"
"AL136018.1",0.980441231380163,0.127114453657632,5.65400085008237,8.15092428508228e-05,0.103736813376242,1.5303242649145,"F","gse225158"
"RPS28",0.796390498368227,4.73861140263454,5.47595524936966,0.000109903035114546,0.133212945514555,1.47709956020272,"F","gse225158"
"STAT4",-1.00158852227534,4.00815631405549,-5.4072735167035,0.000123479289863752,0.138449849859483,1.4019307531081,"F","gse225158"
"AL590666.2",-1.13607479539991,0.440698847307813,-5.38361786379729,0.000128553074691974,0.138449849859483,1.10394705104429,"F","gse225158"
"AC015631.1",-1.84504390183198,3.90429904544646,-5.35546834278026,0.000134876704017234,0.138449849859483,1.32960447726308,"F","gse225158"
"SVIP",0.538601771540583,5.40378622410996,5.35069705331716,0.00013598044497867,0.138449849859483,1.25247454491107,"F","gse225158"
"AC011246.1",0.784721024145848,7.02365684107898,5.24202471746267,0.000163856183950346,0.158348329640721,1.05388272737454,"F","gse225158"
"IL1RAPL2",-2.06192298955729,4.77838016147394,-5.20701861115237,0.000174060707260948,0.158348329640721,1.06959719546893,"F","gse225158"
"CUX2",-0.958705809690994,3.46571367091527,-5.19857497097467,0.000176620195168115,0.158348329640721,1.07606249583051,"F","gse225158"
"SNHG25",0.81043460380536,3.49318293979108,5.14136584367203,0.000195031693801008,0.158348329640721,0.96342214000124,"F","gse225158"
"AP002856.4",1.74568717727203,-0.283628421283085,5.11652281574255,0.00020364151101464,0.158348329640721,0.697737246098868,"F","gse225158"
"LINGO1",0.570870316833278,5.03654070628843,5.11043167311716,0.000205812529749443,0.158348329640721,0.852840292903746,"F","gse225158"
"ADAM12",-0.580740349751123,7.20061795572258,-5.07603891233403,0.000218533000203525,0.158348329640721,0.776153943527018,"F","gse225158"
"DEGS2",0.779577049079064,2.44715859577507,5.06454545854008,0.00022296482303294,0.158348329640721,0.867456573414219,"F","gse225158"
"ADAMTS20",-1.12295783881143,1.57662622320475,-5.04503797237368,0.000230702914187321,0.158348329640721,0.791406576227603,"F","gse225158"
"ASB18",1.01473365590753,3.75781987790706,5.03001546507754,0.000236852751077279,0.158348329640721,0.7608980615486,"F","gse225158"
"AL356807.1",1.03801743775094,0.343636395273295,5.02821730182439,0.000237600257283966,0.158348329640721,0.686635979947269,"F","gse225158"
"PRSS35",0.737517919724637,0.427689651227348,5.02237655722196,0.000240045319811878,0.158348329640721,0.69358511709973,"F","gse225158"
"SNHG9",1.0090193191105,2.78959736908337,4.96991335672821,0.000263220873477579,0.158348329640721,0.701872883793216,"F","gse225158"
"MACROD1",-0.442804540209099,4.03497009336117,-4.95247753887049,0.000271430315520749,0.158348329640721,0.631458973268,"F","gse225158"
"AC016576.1",-1.93555037610872,-2.91556303772055,-4.94509907041585,0.000274984364191441,0.158348329640721,-0.272686713857795,"F","gse225158"
"MYLPF",1.04345671968632,0.233872528641783,4.94474208964581,0.00027515753981861,0.158348329640721,0.548336232353352,"F","gse225158"
"FAM131B",0.495630365275059,3.33609333753666,4.92260500994773,0.000286121763818154,0.158348329640721,0.601391612693372,"F","gse225158"
"PKP2",-0.817513472567494,2.6934288490645,-4.91708497587884,0.000288926071630854,0.158348329640721,0.624944832809394,"F","gse225158"
"AL158058.2",1.17712180171148,4.08080234746496,4.89996009259705,0.00029780963547172,0.158348329640721,0.523370200332823,"F","gse225158"
"SEMA5B",-0.528291690449888,4.09380292907476,-4.89478524682896,0.00030054974034772,0.158348329640721,0.531242508575064,"F","gse225158"
"KCNJ1",0.868835940508755,1.16449578688547,4.88798587439377,0.000304190029869827,0.158348329640721,0.558575705273953,"F","gse225158"
"SNAPIN",0.606125541818261,2.34096108984591,4.88201851219369,0.000307422721443593,0.158348329640721,0.567949128558778,"F","gse225158"
