"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"FER1L6-AS2",-1.77679181051587,3.4708242681314,-14.8210488191708,3.43759780881461e-07,0.00867374679120103,6.53557924845384,"M","gse225158"
"AC114971.1",0.701411393561828,6.63162417810771,12.7050352791268,1.15363784205898e-06,0.00981012538695213,6.11406591224427,"M","gse225158"
"EBF1",-1.57227149924991,5.56652034668823,-12.6599370566344,1.18612825413649e-06,0.00981012538695213,6.05935952519393,"M","gse225158"
"PCSK2",-0.809617630858261,7.55884882434471,-11.0261671885216,3.46482089319664e-06,0.00981012538695213,5.09990849105365,"M","gse225158"
"TRPC6",-1.32636755367051,6.64687332569426,-11.0035016330339,3.52016977959037e-06,0.00981012538695213,5.09178598621263,"M","gse225158"
"AL121578.3",-0.880032508347504,4.97146443883343,-10.9558734501031,3.63971891540558e-06,0.00981012538695213,5.04935684921017,"M","gse225158"
"THSD4",-1.21679768132098,5.44720355742766,-10.7843956067234,4.10917205591575e-06,0.00981012538695213,4.94277223025281,"M","gse225158"
"AL138701.2",-1.32450824136693,6.58915697767974,-10.5003648535982,5.04277420836366e-06,0.00981012538695213,4.75519481959331,"M","gse225158"
"RASGRF2-AS1",-1.05389788466438,1.30280636534306,-10.44228324454,5.26152277643423e-06,0.00981012538695213,3.94420336408962,"M","gse225158"
"TMEM178A",-0.603711772542555,5.33376347438425,-10.4024789454929,5.41753750840444e-06,0.00981012538695213,4.6887032234967,"M","gse225158"
"EPHA4",-1.10984434699921,6.47034162809933,-10.3546249623221,5.61196711539035e-06,0.00981012538695213,4.6568443702722,"M","gse225158"
"TSPAN2",-1.29749740658729,1.77177772182348,-10.2667288154137,5.98967620964681e-06,0.00981012538695213,3.95184552796322,"M","gse225158"
"CNTN5",-1.07877137192345,8.09389453917634,-10.0107422520056,7.26116280233338e-06,0.00981012538695213,4.40183121599555,"M","gse225158"
"RXFP2",4.5397608889768,0.338970798513026,10.0027471320089,7.30545082038304e-06,0.00981012538695213,2.20638875990385,"M","gse225158"
"TRPC4",-1.63778543862837,3.28122519158702,-9.97686734704652,7.45088460466008e-06,0.00981012538695213,4.18954451851832,"M","gse225158"
"FAM163A",2.79291381099128,0.806064203625054,9.91591888874647,7.80629753798787e-06,0.00981012538695213,3.2897367614528,"M","gse225158"
"EXPH5",-0.867267998946239,4.07175206757509,-9.87751520068908,8.03992128201134e-06,0.00981012538695213,4.27388985669925,"M","gse225158"
"TACR1",-0.791017828521131,4.78896167567362,-9.83352276077676,8.31715933865396e-06,0.00981012538695213,4.2726778689012,"M","gse225158"
"CCDC85A",-0.712113048885387,5.39984829503348,-9.8042375652955,8.5076092459892e-06,0.00981012538695213,4.2585881077403,"M","gse225158"
"GRIP2",-0.920651098701584,2.43434665895375,-9.77475729951909,8.70424432815961e-06,0.00981012538695213,3.94091296490493,"M","gse225158"
"ADAM12",-0.931600861320016,7.17446698662538,-9.77295080993403,8.71645721312611e-06,0.00981012538695213,4.23477299714668,"M","gse225158"
"OBSCN",-0.59690847147054,5.86599601902853,-9.76602769544938,8.7634383072243e-06,0.00981012538695213,4.23253062898996,"M","gse225158"
"TENM2",-0.714247244745245,9.5827039582387,-9.68744971436408,9.31690503111734e-06,0.00981012538695213,4.1511676595622,"M","gse225158"
"LINGO2",-0.790123321477794,6.78999404252864,-9.58654814841021,1.0085493160686e-05,0.00981012538695213,4.09609235936349,"M","gse225158"
"OLIG2",0.805433588038973,3.89699750135104,9.58428562547873,1.01035177053804e-05,0.00981012538695213,4.07059884702471,"M","gse225158"
"SLC1A3",0.553396411900621,8.58415933829323,9.51064955857479,1.07101761673557e-05,0.00981012538695213,4.03034548381115,"M","gse225158"
"DLX6-AS1",-0.86546100445328,5.27985171671821,-9.48223830825446,1.09549938189087e-05,0.00981012538695213,4.01509989540932,"M","gse225158"
"AL583827.1",-0.77735124856875,4.69409390329773,-9.45388681687583,1.12055192565789e-05,0.00981012538695213,3.98731363646556,"M","gse225158"
"RIT2",-0.628682377989212,7.08282060828245,-9.4057121826029,1.16459609574163e-05,0.00981012538695213,3.95660395760175,"M","gse225158"
"TRAF5",-0.630900090829473,4.86679062856286,-9.36758248871316,1.20082349054749e-05,0.00981012538695213,3.9245665735819,"M","gse225158"
"SEMA5B",-0.841421942296202,4.26270169914467,-9.32741062092847,1.24035295766516e-05,0.00981012538695213,3.87972813593272,"M","gse225158"
"GREM2",-0.764693296764691,4.40000061141267,-9.32362670218148,1.2441503344264e-05,0.00981012538695213,3.88165956853162,"M","gse225158"
"DGCR9",-0.610248077683573,6.54188182142876,-9.25485269823431,1.31547227390796e-05,0.00986165168283666,3.83906583253778,"M","gse225158"
"LINP1",-1.71045089814627,0.286811966240921,-9.2424126025521,1.32885287419327e-05,0.00986165168283666,2.75174404690057,"M","gse225158"
"HTR4",-0.72221831829617,7.84749325928152,-9.17036435008915,1.4093885635227e-05,0.0101604834956585,3.76997449196055,"M","gse225158"
"CPNE8",-0.773910348234041,5.36796259471402,-8.98225798926077,1.64646188339227e-05,0.011158801242566,3.61997354912275,"M","gse225158"
