"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"USP9Y",7.7195938948986,3.07334205279617,35.5512648920053,2.67454127358411e-19,6.83318549988004e-15,22.2731205634075,"gse225158"
"TTTY14",9.38324977021926,2.8458247572548,30.212354809129,6.18468914978181e-18,7.90063115438878e-14,19.7564972782702,"gse225158"
"RPS4Y1",5.80629185522248,1.40126251786709,26.9557844145376,5.52362405609e-17,3.86066536577808e-13,19.2626826687527,"gse225158"
"UTY",9.83795184774168,2.62172921656691,26.8292375941028,6.04433107484141e-17,3.86066536577808e-13,18.4586339285163,"gse225158"
"TTTY10",6.04891454688547,2.23707457791473,18.8715673771589,4.71431728769059e-14,2.40892184766414e-10,17.6531728418432,"gse225158"
"XIST",-12.1265813910576,4.96422252529404,-18.15322990243,9.71182235886724e-14,4.13545582411165e-10,12.5407711760031,"gse225158"
"TBL1Y",6.32299124831552,1.59920238261856,17.0846190178696,2.98786904896177e-13,1.09052951902749e-09,15.8072581321495,"gse225158"
"ZFY",8.68398691692546,-0.16107991599474,14.933539968505,3.5050227701927e-12,1.11937283444567e-08,10.9827638747137,"gse225158"
"NLGN4Y",10.4785107935767,2.46735565360808,14.110960855954,9.74139300138116e-12,2.76536499769208e-08,12.7801432654239,"gse225158"
"LINC00278",6.61309212290239,0.1532877605137,12.1326413407281,1.41300781132181e-10,3.61009365714609e-07,10.6032239651438,"gse225158"
"PRKY",5.99892373964943,-0.376142091594116,10.9713357940568,7.99652547787292e-10,1.85730208576523e-06,9.32313580766449,"gse225158"
"PCDH11Y",2.51971950760347,3.75272511347165,9.72581640197596,5.99796884147091e-09,1.27701754942284e-05,10.551699575064,"gse225158"
"WIF1",2.23956101329226,4.15656201127732,7.47931920206017,3.64012836325125e-07,0.00071539722732851,6.75565074020451,"gse225158"
"AC027020.2",1.49590237451742,1.51638801971579,6.6945811380288,1.78634870624168e-06,0.0032599587925549,5.09983262972202,"gse225158"
"TSIX",-7.00585954913764,2.60070699696989,-6.54977466882318,2.41747533987591e-06,0.00411760516389931,4.50339956237806,"gse225158"
"HAMP",-4.24708284794619,-0.0231320110144709,-6.40954841238658,3.24895637210827e-06,0.00518797414693713,3.84984305461738,"gse225158"
"AC127502.2",-0.783945036578048,3.17014316827239,-6.27207250650508,4.35196015083568e-06,0.00654048411139416,4.40134942796599,"gse225158"
"FGD6",1.03698586753077,4.3581272257778,6.19265228045206,5.15820797759372e-06,0.00732150308997455,4.23601569943305,"gse225158"
"SLC11A1",-2.52424029355446,2.21593590933435,-5.78116060586284,1.26008025590119e-05,0.0169441002410629,3.36205467503303,"gse225158"
"JPX",-0.645826882244873,8.20774723619905,-5.68289726102506,1.56433818738131e-05,0.0199836381747026,3.15528337991011,"gse225158"
"SNX8",0.587875225364742,4.23947301610441,5.46780491039037,2.52111677977806e-05,0.0300000898581437,2.70278999952879,"gse225158"
"NHSL1",1.62984463509513,6.33915671829913,5.45688748755834,2.58327909851329e-05,0.0300000898581437,2.66560497716002,"gse225158"
"MYO1G",-2.99655373430146,-1.29709224716181,-5.41692047646345,2.82451392335213e-05,0.0313754374903146,1.94684637065452,"gse225158"
"THSD1",0.733265530172181,3.15287707127248,5.39356217496127,2.97603073387044e-05,0.0316810871748567,2.57301842808583,"gse225158"
"COL5A3",1.48009051405976,4.36420736319238,5.30120730104002,3.66101877819167e-05,0.0365792030283179,2.34965360284811,"gse225158"
"ZFY-AS1",4.14102534748399,-1.58032173588334,5.28609562115424,3.78754597973525e-05,0.0365792030283179,1.73364032041943,"gse225158"
"FGFR3",1.73214437997131,4.19024227349452,5.24420338691775,4.16212272640864e-05,0.0365792030283179,2.23509250629562,"gse225158"
"AL136366.1",1.04561349978499,3.4330163405237,5.24119618879846,4.19042228193248e-05,0.0365792030283179,2.24260419609423,"gse225158"
"SPON1",1.01453344963548,6.52309838684995,5.22673964519109,4.32922886627855e-05,0.0365792030283179,2.16138355049625,"gse225158"
"NPAS4",3.91925551151578,-2.08485765177276,5.22078239281284,4.38778300914268e-05,0.0365792030283179,1.64903556364869,"gse225158"
"PDE4A",0.94155059520959,4.5810967204092,5.21466376675614,4.44876350539392e-05,0.0365792030283179,2.14782452743654,"gse225158"
"ETV5",1.28535847213585,5.13176844607781,5.19735934525092,4.6259414218287e-05,0.0365792030283179,2.10540178822999,"gse225158"
"GRAMD1B",0.835857915107198,6.22210839491956,5.17909706399688,4.82073276549678e-05,0.0365792030283179,2.05419955676217,"gse225158"
"ZFP36",-3.08384656737507,2.05133860850022,-5.17479045999409,4.86787311817609e-05,0.0365792030283179,2.09207709097802,"gse225158"
"SOCS3",-5.36776599241652,-0.0747799697916416,-5.13817372798916,5.28813296703724e-05,0.0386018597642384,1.4408309066785,"gse225158"
"AC007785.1",0.526216858261506,5.01760321608112,5.05453159141216,6.39217330872607e-05,0.0442238836949012,1.78586100249477,"gse225158"
