"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"ACOXL",-1.11391164463454,2.43346409495539,-6.27997272398319,5.41396244369226e-06,0.138321326473894,2.72387930693369,"gse225158"
"CASC20",2.71393430834275,-2.89140732029285,5.42625816342775,3.2942233557548e-05,0.420820562580897,-1.72563778743728,"gse225158"
"TBL1Y",-1.16013451217948,1.59920238261856,-4.96477719534319,9.05219582729023e-05,0.537363494714564,0.202805691476705,"gse225158"
"SIPA1",0.945984138568215,1.43403270206131,4.9596344319576,9.15581666996736e-05,0.537363494714564,0.439947647021868,"gse225158"
"DEGS2",-1.2488414891662,2.20606088246311,-4.71401601987959,0.000158094441730464,0.537363494714564,0.37482475196945,"gse225158"
"AP000769.6",-1.2249641682505,-0.426090007314301,-4.68158931440449,0.000169976504153002,0.537363494714564,-0.968772839849752,"gse225158"
"MS4A14",1.83489680081548,-0.995094368653117,4.64703963121036,0.000183635977031692,0.537363494714564,-1.22503060077785,"gse225158"
"WNT10B",-0.83884279423047,2.44012611855405,-4.62379465007056,0.000193447528870923,0.537363494714564,0.357685037366383,"gse225158"
"AL590004.3",2.33038870853867,-2.97384534560765,4.60397447382769,0.000202232329595901,0.537363494714564,-2.30921056690741,"gse225158"
"SLC22A2",-0.85052901934563,0.13767788295884,-4.54882183025463,0.000228864952818349,0.537363494714564,-0.737611811131782,"gse225158"
"AC092819.3",2.20469716299504,-2.85978412318258,4.52156222451022,0.000243313189712232,0.537363494714564,-2.23867235491739,"gse225158"
"AC126773.4",1.85302222184664,-2.87011001454646,4.40314905621762,0.000317591234141267,0.537363494714564,-2.38898003957543,"gse225158"
"AP004606.1",-0.97091670249604,-0.717445324929145,-4.39290607222234,0.000325006579010244,0.537363494714564,-1.39929341948341,"gse225158"
"LINC01578",0.416232868453045,6.51608198165257,4.39223265031977,0.000325500179363842,0.537363494714564,0.32963904574248,"gse225158"
"CNFN",-2.70625327708537,-1.92280526389384,-4.3064680776884,0.000394969467914318,0.537363494714564,-2.2668004344029,"gse225158"
"LINC00354",-1.01904967919695,2.07270095257045,-4.26036211638795,0.000438311615191799,0.537363494714564,-0.358524714625898,"gse225158"
"WASHC4",0.45175569238919,6.08784094383688,4.25183994286873,0.000446832847078257,0.537363494714564,0.0580328833344348,"gse225158"
"ZNF528",-0.39864504449732,5.21616704139333,-4.22975991475192,0.000469694593616767,0.537363494714564,0.00264757720448738,"gse225158"
"CACNA1I",-0.685324477457045,4.20811089037763,-4.21360762423187,0.000487161255242894,0.537363494714564,-0.0701932339410725,"gse225158"
"RADX",0.47490616229755,3.45846048180142,4.2106918226004,0.000490383283432508,0.537363494714564,-0.144223067213678,"gse225158"
"NOMO2",0.483866378150917,3.32380163060832,4.20780595718704,0.000493593343724841,0.537363494714564,-0.166788595597252,"gse225158"
"LINC01235",0.91426849387081,-1.00576256705646,4.18883324466471,0.000515230295734694,0.537363494714564,-1.7271581758906,"gse225158"
"PTTG1IP",0.450632944913066,4.87750992663692,4.18216168817628,0.00052306332871377,0.537363494714564,-0.0965087962990205,"gse225158"
"C4orf46",0.701676673651039,0.942005873965702,4.13499195640682,0.000581969009930838,0.537363494714564,-0.931394368976789,"gse225158"
"RPS6KA1",0.758856599667023,3.47288772477763,4.08983188932113,0.000644602838726992,0.537363494714564,-0.358971219733735,"gse225158"
