"ensembl_gene_id","hgnc_symbol","chromosome_name","gene_biotype"
"ENSG00000000003","TSPAN6","X","protein_coding"
"ENSG00000000005","TNMD","X","protein_coding"
"ENSG00000000419","DPM1","20","protein_coding"
"ENSG00000000457","SCYL3","1","protein_coding"
"ENSG00000000460","FIRRM","1","protein_coding"
"ENSG00000000938","FGR","1","protein_coding"
"ENSG00000000971","CFH","1","protein_coding"
"ENSG00000001036","FUCA2","6","protein_coding"
"ENSG00000001084","GCLC","6","protein_coding"
"ENSG00000001167","NFYA","6","protein_coding"
"ENSG00000001460","STPG1","1","protein_coding"
"ENSG00000001461","NIPAL3","1","protein_coding"
"ENSG00000001497","LAS1L","X","protein_coding"
"ENSG00000001561","ENPP4","6","protein_coding"
"ENSG00000001617","SEMA3F","3","protein_coding"
"ENSG00000001626","CFTR","7","protein_coding"
"ENSG00000001629","ANKIB1","7","protein_coding"
"ENSG00000001630","CYP51A1","7","protein_coding"
"ENSG00000001631","KRIT1","7","protein_coding"
"ENSG00000002016","RAD52","12","protein_coding"
"ENSG00000002330","BAD","11","protein_coding"
"ENSG00000002549","LAP3","4","protein_coding"
"ENSG00000002586","CD99","X","protein_coding"
"ENSG00000002587","HS3ST1","4","protein_coding"
"ENSG00000002726","AOC1","7","protein_coding"
"ENSG00000002745","WNT16","7","protein_coding"
"ENSG00000002746","HECW1","7","protein_coding"
"ENSG00000002822","MAD1L1","7","protein_coding"
"ENSG00000002834","LASP1","17","protein_coding"
"ENSG00000002919","SNX11","17","protein_coding"
"ENSG00000002933","TMEM176A","7","protein_coding"
"ENSG00000003056","M6PR","12","protein_coding"
"ENSG00000003096","KLHL13","X","protein_coding"
"ENSG00000003137","CYP26B1","2","protein_coding"
"ENSG00000003147","ICA1","7","protein_coding"
"ENSG00000003249","DBNDD1","16","protein_coding"
"ENSG00000003393","ALS2","2","protein_coding"
"ENSG00000003400","CASP10","2","protein_coding"
"ENSG00000003402","CFLAR","2","protein_coding"
"ENSG00000003436","TFPI","2","protein_coding"
"ENSG00000003509","NDUFAF7","2","protein_coding"
"ENSG00000003756","RBM5","3","protein_coding"
"ENSG00000003987","MTMR7","8","protein_coding"
"ENSG00000003989","SLC7A2","8","protein_coding"
"ENSG00000004059","ARF5","7","protein_coding"
"ENSG00000004139","SARM1","17","protein_coding"
"ENSG00000004142","POLDIP2","17","protein_coding"
"ENSG00000004399","PLXND1","3","protein_coding"
"ENSG00000004455","AK2","1","protein_coding"
"ENSG00000004468","CD38","4","protein_coding"
"ENSG00000004478","FKBP4","12","protein_coding"
"ENSG00000004487","KDM1A","1","protein_coding"
"ENSG00000004534","RBM6","3","protein_coding"
"ENSG00000004660","CAMKK1","17","protein_coding"
